Env,k,y,p,method
Dar16C_hiP,ACC_002,1711.570137,1566.5958542622147,ridge_pc5_lo
Dar16C_hiP,ACC_003,959.7475073,1479.454055820031,ridge_pc5_lo
Dar16C_hiP,ACC_004,809.4625757,1408.14375992549,ridge_pc5_lo
Dar16C_hiP,ACC_005,1523.644867,1562.891228072194,ridge_pc5_lo
Dar16C_hiP,ACC_007,1353.960587,1334.4177092931786,ridge_pc5_lo
Dar16C_hiP,ACC_008,1495.299846,1358.3552087525436,ridge_pc5_lo
Dar16C_hiP,ACC_009,1655.823903,1298.5636793628814,ridge_pc5_lo
Dar16C_hiP,ACC_010,1390.98895,1378.2165068475156,ridge_pc5_lo
Dar16C_hiP,ACC_011,1200.722002,1464.1854148808873,ridge_pc5_lo
Dar16C_hiP,ACC_012,1954.135012,1306.2527305679164,ridge_pc5_lo
Dar16C_hiP,ACC_014,1385.781708,1273.7854898215332,ridge_pc5_lo
Dar16C_hiP,ACC_017,715.0606426,1365.231254674323,ridge_pc5_lo
Dar16C_hiP,ACC_018,1227.833921,1373.6318966703361,ridge_pc5_lo
Dar16C_hiP,ACC_022,1697.276922,1452.1353670214423,ridge_pc5_lo
Dar16C_hiP,ACC_023,1990.831349,1476.8551199077328,ridge_pc5_lo
Dar16C_hiP,ACC_024,1287.84016,1441.6703987935223,ridge_pc5_lo
Dar16C_hiP,ACC_025,888.2337779,1303.5678366995578,ridge_pc5_lo
Dar16C_hiP,ACC_026,1072.837759,1296.6063482749107,ridge_pc5_lo
Dar16C_hiP,ACC_027,1149.699792,1408.9646214601503,ridge_pc5_lo
Dar16C_hiP,ACC_028,1049.028502,1372.1157985700224,ridge_pc5_lo
Dar16C_hiP,ACC_029,860.5342673,1491.2120905530855,ridge_pc5_lo
Dar16C_hiP,ACC_030,1483.543971,1439.5917838111845,ridge_pc5_lo
Dar16C_hiP,ACC_031,1441.070285,1475.621270983159,ridge_pc5_lo
Dar16C_hiP,AFR_298,1689.86625,1527.7566347001812,ridge_pc5_lo
Dar16C_hiP,AFR_619,1772.202018,1355.953511287194,ridge_pc5_lo
Dar16C_hiP,AFR_708,1409.104352,1321.6607559382232,ridge_pc5_lo
Dar16C_hiP,AFR_722,1679.626526,1403.475683541787,ridge_pc5_lo
Dar16C_hiP,AFR_735,1413.246158,1328.666055677691,ridge_pc5_lo
Dar16C_hiP,BRB_191,1176.761581,1275.6106900093682,ridge_pc5_lo
Dar16C_hiP,BRB_198,1402.545445,1400.1472171326786,ridge_pc5_lo
Dar16C_hiP,BRB_215,1513.733981,1337.6961651478648,ridge_pc5_lo
Dar16C_hiP,BRB_264,1844.791645,1237.3518728251263,ridge_pc5_lo
Dar16C_hiP,CAL_096,1489.393344,1386.1513601415581,ridge_pc5_lo
Dar16C_hiP,CAL_143,1606.774681,1325.9953555833474,ridge_pc5_lo
Dar16C_hiP,CMB_004,1371.780555,1408.9789276310914,ridge_pc5_lo
Dar16C_hiP,CMB_006,648.168729,1449.2922687802643,ridge_pc5_lo
Dar16C_hiP,CMB_010,1824.189989,1411.701453773846,ridge_pc5_lo
Dar16C_hiP,CMB_012,1901.810028,1334.4001430626083,ridge_pc5_lo
Dar16C_hiP,CMB_014,1322.303325,1447.1878986433378,ridge_pc5_lo
Dar16C_hiP,CMB_016,1003.164787,1406.702938279957,ridge_pc5_lo
Dar16C_hiP,CMB_018,1266.414187,1453.4117357358016,ridge_pc5_lo
Dar16C_hiP,CMB_025,1714.385407,1427.6966874995196,ridge_pc5_lo
Dar16C_hiP,CMB_036,1373.130645,1418.12067528333,ridge_pc5_lo
Dar16C_hiP,CMB_043,1602.299211,1420.9436797603344,ridge_pc5_lo
Dar16C_hiP,CMB_045,1799.058509,1415.8769461843879,ridge_pc5_lo
Dar16C_hiP,CMB_050,1015.203707,1421.385171977763,ridge_pc5_lo
Dar16C_hiP,CMB_057,1437.785399,1391.4085456398589,ridge_pc5_lo
Dar16C_hiP,CMB_073,1107.071742,1333.9974347612954,ridge_pc5_lo
Dar16C_hiP,CMB_080,1412.015032,1434.3559969640203,ridge_pc5_lo
