dataset,methods,frac,n_env,n_methods,gap,ci_lo,ci_hi,gap_fin,ci_lo_fin,ci_hi_fin
common bean,all methods,0.1,10,52,-0.05467867376578213,-0.1391815134787951,0.03429674467711852,-0.052127553789543854,-0.1377125707625566,0.035983967518178235
common bean,all methods,0.2,10,52,-0.002627120060870183,-0.050075075998587994,0.04433963072773285,-0.0013017826746057337,-0.04957169810003634,0.04270866640043019
common bean,parent methods,0.1,10,17,-0.0689014064437546,-0.1870227917384575,0.05551826212636871,-0.06588136635170688,-0.18518537710097002,0.059594450873390735
common bean,parent methods,0.2,10,17,-0.031207002474733125,-0.09698205065479355,0.03238938195578039,-0.029659137057751788,-0.096314806942562,0.030706841512636696
spring wheat,all methods,0.1,109,52,-0.12776610847213704,-0.17893808936284583,-0.07480739190359423,-0.111466384980825,-0.16173446304857905,-0.06136076383728916
spring wheat,all methods,0.2,109,52,-0.05986617731329275,-0.08784593932871512,-0.031095502418290025,-0.05281176758401561,-0.0814564354520113,-0.024809726532468677
spring wheat,parent methods,0.1,109,17,-0.14652460226467662,-0.20711093776588907,-0.08556586475312151,-0.13177027716349377,-0.19042244114505763,-0.07177746497642672
spring wheat,parent methods,0.2,109,17,-0.06417567423652183,-0.09949738265167873,-0.030528377505365894,-0.05769787465090385,-0.09258643595974218,-0.022594402101542035
soybean,all methods,0.1,169,66,-0.026087498966615597,-0.04966987648501326,-0.0010252268315734075,-0.021211342085488867,-0.04530289667397517,0.003112338995433963
soybean,all methods,0.2,169,66,-0.025228898352670857,-0.03974941112479266,-0.009449598220943673,-0.022698115690610893,-0.038036953042663024,-0.006632266563572629
soybean,parent methods,0.1,169,26,-0.021584639075989856,-0.05134436737205897,0.010573749614126405,-0.015910119339935205,-0.04712594566959472,0.014731899390081798
soybean,parent methods,0.2,169,26,-0.029908594007998075,-0.049049106874126294,-0.010029419219267834,-0.026990989439264212,-0.04688572143143178,-0.006667353989245011
