trait,methods,envs,reversal,ci_lo,ci_hi,null_mean,null_p_onesided,width,width_frac,noise_RMSE,noise_pearson,signal_over_noise,reversal_unaugmented,ci_lo_unaug,ci_hi_unaug,methods_unaug,width_unaugmented,width_frac_unaug
ATI,51,5,0.37098039215686274,0.27014187037466797,0.47886114791804285,0.4913905882352941,0.9965,37.0,0.7254901960784313,0.03815686274509804,0.04501960784313726,8.92032060348892,0.15833333333333333,0.02727272727272727,0.34545454545454546,16,11.5,0.71875
CW,51,5,0.46588235294117647,0.3674886822047855,0.5633502497944729,0.49188156862745097,0.708,42.0,0.8235294117647058,0.05066666666666666,0.056509803921568624,8.693743139407244,0.15,0.018518518518518517,0.30439678809244003,16,9.5,0.59375
DTA,51,5,0.3968627450980392,0.30126398880895283,0.49600079365079364,0.49354980392156866,0.979,36.0,0.7058823529411765,0.10450980392156864,0.07235294117647059,4.48780487804878,0.10833333333333334,0.0,0.25230559506875266,16,8.5,0.53125
DTS,51,5,0.41333333333333333,0.3186086385524588,0.5111749356495664,0.4929254901960784,0.956,38.0,0.7450980392156863,0.1092156862745098,0.057019607843137254,4.9728709601321075,0.175,0.03636363636363636,0.32456140350877194,16,10.5,0.65625
DTT,51,5,0.403921568627451,0.3120409651374853,0.4996065375302663,0.4869560784313725,0.958,38.0,0.7450980392156863,0.10031372549019608,0.07682352941176471,4.560549036971441,0.14166666666666666,0.03772703226944101,0.25892857142857145,16,9.0,0.5625
ED,51,5,0.31529411764705884,0.21582617963600134,0.4192199999999999,0.49128274509803926,1.0,35.0,0.6862745098039216,0.03176470588235293,0.043450980392156856,8.383733055265905,0.13333333333333333,0.026785714285714284,0.2845007851888581,16,9.5,0.59375
EH,51,5,0.48549019607843136,0.38900253436063514,0.5798870086484522,0.49163411764705883,0.5535,43.0,0.8431372549019608,0.041686274509803924,0.047568627450980394,10.878734622144112,0.15,0.0,0.36619799337260606,16,9.5,0.59375
EL,51,5,0.3803921568627451,0.2769140579463221,0.4908073541167066,0.49113450980392154,0.9885,40.0,0.7843137254901961,0.05835294117647059,0.05058823529411764,6.983441324694024,0.15833333333333333,0.02727272727272727,0.34545454545454546,16,8.5,0.53125
ELL,51,5,0.4541176470588235,0.3532660494443463,0.5504040449438202,0.49012235294117645,0.7735,40.0,0.7843137254901961,0.043490196078431374,0.02243137254901961,13.777513384889946,0.125,0.0,0.32076337199238353,16,10.0,0.625
ELW,51,5,0.36470588235294116,0.26041145416333067,0.4777138908579092,0.49425019607843135,0.9985,37.0,0.7254901960784313,0.04047058823529411,0.03756862745098039,9.34673366834171,0.175,0.043859649122807015,0.36036036036036034,16,8.5,0.53125
ERN,51,5,0.3615686274509804,0.2599896166134185,0.46432367054928614,0.49113725490196075,0.998,38.0,0.7450980392156863,0.03521568627450981,0.034509803921568626,10.371203599550055,0.13333333333333333,0.02727272727272727,0.27358490566037735,16,9.5,0.59375
EW,51,5,0.5003921568627451,0.4031797609561753,0.5953568395283773,0.49136549019607845,0.4305,43.0,0.8431372549019608,0.050862745098039217,0.05317647058823529,9.619298906897852,0.175,0.008924655388471177,0.39134316770186317,16,11.5,0.71875
KNPE,51,5,0.5058823529411764,0.40700692839178004,0.5941058492342576,0.49363960784313726,0.4075,44.0,0.8627450980392157,0.062117647058823534,0.0795686274509804,7.140880154995848,0.21666666666666667,0.02608695652173913,0.4286027568922304,16,10.5,0.65625
KNPR,51,5,0.45254901960784316,0.34719916999201916,0.5525287004600514,0.4911478431372549,0.7955,41.0,0.803921568627451,0.05745098039215687,0.043019607843137256,9.008587041373927,0.24166666666666667,0.06304898648648648,0.46017699115044247,16,10.5,0.65625
KWPE,51,5,0.5098039215686274,0.4139297562451875,0.5993590383080606,0.48818117647058823,0.333,43.0,0.8431372549019608,0.0555294117647059,0.06231372549019607,8.652246256239598,0.21666666666666667,0.008771929824561403,0.45875213120077923,16,10.5,0.65625
LBT,51,5,0.29490196078431374,0.1977582065652522,0.3981054579413391,0.49270705882352944,1.0,36.0,0.7058823529411765,0.032588235294117654,0.050470588235294114,7.101038715769594,0.125,0.017699115044247787,0.2883179231863441,16,9.5,0.59375
LNAE,51,5,0.3137254901960784,0.2203413422953451,0.41660515562649636,0.49430274509803923,1.0,34.0,0.6666666666666666,0.03654901960784313,0.030588235294117645,9.345794392523365,0.14166666666666666,0.043859649122807015,0.2831858407079646,16,8.5,0.53125
LNBE,51,5,0.2972549019607843,0.20512872083668546,0.40049947303303846,0.4919647058823529,1.0,38.0,0.7450980392156863,0.030627450980392157,0.03709803921568628,8.778228141285465,0.11666666666666667,0.02608695652173913,0.25892857142857145,16,10.0,0.625
PH,51,5,0.476078431372549,0.375,0.5708595264342989,0.4904788235294118,0.6195,42.0,0.8235294117647058,0.043647058823529414,0.03258823529411764,12.489711934156379,0.15,0.0,0.3611541297935101,16,8.5,0.53125
SAI,51,5,0.3898039215686275,0.286272768931149,0.4975697554900813,0.4878835294117647,0.981,40.0,0.7843137254901961,0.028156862745098044,0.05678431372549021,9.17820867959372,0.18333333333333332,0.03668890742285238,0.375,16,9.5,0.59375
STI,51,5,0.38509803921568625,0.2847891277973371,0.4896,0.490033725490196,0.9865,40.0,0.7843137254901961,0.03788235294117648,0.056235294117647064,8.183333333333332,0.16666666666666666,0.03508771929824561,0.33035168195718617,16,9.5,0.59375
TBN,51,5,0.3905882352941176,0.2899366239979935,0.49519250000000004,0.48763882352941174,0.9825,40.0,0.7843137254901961,0.03850980392156863,0.07270588235294115,7.023977433004232,0.125,0.03539046731873933,0.23854225866688314,16,8.5,0.53125
TL,51,5,0.4235294117647059,0.322425522745411,0.5200771281660636,0.48821450980392156,0.9105,40.0,0.7843137254901961,0.032470588235294126,0.03541176470588235,12.478336221837088,0.13333333333333333,0.03508771929824561,0.27522935779816515,16,9.5,0.59375
