method,reversed,mean_r2_pearson,mean_pearson_r,mean_spearman_r,SG_f10,n_env
mlp,False,0.2276242355001947,0.3983991100355478,0.26714065923198793,0.33256789211437926,109
mlp,True,0.2276242355001947,-0.3983991100355478,-0.26714065923198793,-1.2746882826569246,109
ens,False,0.17202276456255558,0.2742021527253786,0.2580123912338448,0.22649102925148484,109
ens,True,0.17202276456255558,-0.2742021527253786,-0.2580123912338448,-0.5052164606991273,109
gbm,False,0.15903297569085384,0.26965449487274035,0.25663599067278786,0.3567328037347242,109
gbm,True,0.15903297569085384,-0.26965449487274035,-0.25663599067278786,-0.4317458037426409,109
ridge_pc40_lo,False,0.1515649606341642,0.2830831311733949,0.2723267571863895,0.2731593702839171,109
ridge_pc40_lo,True,0.1515649606341642,-0.2830831311733949,-0.2723267571863895,-0.598939396473996,109
ridge_pc40_hi,False,0.15143796767403392,0.282601026981176,0.27228273188475194,0.2731593702839171,109
ridge_pc40_hi,True,0.15143796767403392,-0.282601026981176,-0.27228273188475194,-0.598939396473996,109
rf,False,0.13660733904666297,0.10545893038535625,0.08083532138922214,0.038394561650064545,109
rf,True,0.13660733904666297,-0.10545893038535625,-0.08083532138922214,-0.24373863641011426,109
ridge_pc80_hi,False,0.11978903306210667,0.21972350185464037,0.16295945425884734,0.3027748842564677,109
ridge_pc80_hi,True,0.11978903306210667,-0.21972350185464037,-0.16295945425884734,-0.32961874546070585,109
ridge_pc80_lo,False,0.1197748851503663,0.22030149494725976,0.16122497331109098,0.3027748842564677,109
ridge_pc80_lo,True,0.1197748851503663,-0.22030149494725976,-0.16122497331109098,-0.3361245212573467,109
ridge_pc20_lo,False,0.11976536500494654,0.15257417302056894,0.1380410606489015,0.23179922912208614,109
ridge_pc20_lo,True,0.11976536500494654,-0.15257417302056894,-0.1380410606489015,-0.2634359842964897,109
ridge_pc20_hi,False,0.11971093852838804,0.1522450582159337,0.13692589868157912,0.23179922912208614,109
ridge_pc20_hi,True,0.11971093852838804,-0.1522450582159337,-0.13692589868157912,-0.2634359842964897,109
gblup_gxe,False,0.11878175084922293,0.16632345706254556,0.1374985455491968,0.31000971820007156,109
gblup_gxe,True,0.11878175084922293,-0.16632345706254556,-0.1374985455491968,-0.3257750100711465,109
knn30,False,0.10734664059499878,-0.0759212925500175,-0.015522857300287922,-0.845136865498605,109
knn30,True,0.10734664059499878,0.0759212925500175,0.015522857300287922,-0.20379392380957398,109
gblup,False,0.10733358252870386,0.1605287052486754,0.11343122656839433,0.20821961084754653,109
gblup,True,0.10733358252870386,-0.1605287052486754,-0.11343122656839433,-0.1874615900848413,109
ridge_pc5_hi,False,0.1028550906620378,-0.004547608009770668,-0.0713922631555366,-0.06457412904108088,109
ridge_pc5_hi,True,0.1028550906620378,0.004547608009770668,0.0713922631555366,-0.219533837561333,109
ridge_pc5_lo,False,0.1028397009267485,-0.004418453634937928,-0.0713922631555366,-0.06457412904108088,109
ridge_pc5_lo,True,0.1028397009267485,0.004418453634937928,0.0713922631555366,-0.219533837561333,109
knn10,False,0.1007298900652552,0.13612624987692948,0.18394889980256643,0.15570493169007318,109
knn10,True,0.1007298900652552,-0.13612624987692948,-0.18394889980256643,-0.19351062270840863,109
markeronly_pc80,False,0.08200135834607829,0.13289028207638465,0.09613876869321036,0.27377118424594504,109
markeronly_pc80,True,0.08200135834607829,-0.13289028207638465,-0.09613876869321036,-0.1769669325646872,109
