dataset,decision,rule,family,recovery,ci_lo,ci_hi,outcome_reliability,n_methods,n_env,n_genotypes,gm_spearman_minus_rmse,gm_spearman_minus_rmse_lo,gm_spearman_minus_rmse_hi,spearman_minus_rmse,spearman_minus_rmse_lo,spearman_minus_rmse_hi,pearson_minus_rmse,pearson_minus_rmse_lo,pearson_minus_rmse_hi,spearman_minus_gm_spearman,spearman_minus_gm_spearman_lo,spearman_minus_gm_spearman_hi
maize (5 verified),D4_genotype_mean_topk,mean_RMSE,error,-0.28082929619060687,-1.0952458380828727,0.5432213419459222,,5,23,548,0.883857968925921,-0.481370981712523,1.7199615967249842,0.888743612428397,-0.36743909996789004,1.6877433235481256,0.3970416707149565,-0.48425510280926615,1.188075367041656,0.004885643502475889,-0.29280862526699986,0.48449412257598384
maize (5 verified),D4_genotype_mean_topk,mean_MAE,error,-0.28365065629042724,-0.9998319853197674,0.5432920943810992,,5,23,548,0.883857968925921,-0.481370981712523,1.7199615967249842,0.888743612428397,-0.36743909996789004,1.6877433235481256,0.3970416707149565,-0.48425510280926615,1.188075367041656,0.004885643502475889,-0.29280862526699986,0.48449412257598384
maize (5 verified),D4_genotype_mean_topk,mean_r2_score,error,-0.9585401532638926,-1.301955449402717,0.3881732338272847,,5,23,548,0.883857968925921,-0.481370981712523,1.7199615967249842,0.888743612428397,-0.36743909996789004,1.6877433235481256,0.3970416707149565,-0.48425510280926615,1.188075367041656,0.004885643502475889,-0.29280862526699986,0.48449412257598384
maize (5 verified),D4_genotype_mean_topk,mean_pearson_r,correlation,0.11621237452434961,-0.25666503794037854,0.47292151314772957,,5,23,548,0.883857968925921,-0.481370981712523,1.7199615967249842,0.888743612428397,-0.36743909996789004,1.6877433235481256,0.3970416707149565,-0.48425510280926615,1.188075367041656,0.004885643502475889,-0.29280862526699986,0.48449412257598384
maize (5 verified),D4_genotype_mean_topk,mean_spearman_r,correlation,0.60791431623779,-0.3533494682732204,0.8529715156804768,,5,23,548,0.883857968925921,-0.481370981712523,1.7199615967249842,0.888743612428397,-0.36743909996789004,1.6877433235481256,0.3970416707149565,-0.48425510280926615,1.188075367041656,0.004885643502475889,-0.29280862526699986,0.48449412257598384
maize (5 verified),D4_genotype_mean_topk,mean_NDCG@10%,correlation,0.5823810668401233,0.07833893075558053,0.8669816447896255,,5,23,548,0.883857968925921,-0.481370981712523,1.7199615967249842,0.888743612428397,-0.36743909996789004,1.6877433235481256,0.3970416707149565,-0.48425510280926615,1.188075367041656,0.004885643502475889,-0.29280862526699986,0.48449412257598384
maize (5 verified),D4_genotype_mean_topk,genotype-mean spearman,genotype mean,0.6030286727353141,-0.44585318638537375,0.8318268030539747,,5,23,548,0.883857968925921,-0.481370981712523,1.7199615967249842,0.888743612428397,-0.36743909996789004,1.6877433235481256,0.3970416707149565,-0.48425510280926615,1.188075367041656,0.004885643502475889,-0.29280862526699986,0.48449412257598384
maize (5 verified),D4_genotype_mean_topk,genotype-mean pearson,genotype mean,0.11621237452434961,-0.25666503794037854,0.4848723585452626,,5,23,548,0.883857968925921,-0.481370981712523,1.7199615967249842,0.888743612428397,-0.36743909996789004,1.6877433235481256,0.3970416707149565,-0.48425510280926615,1.188075367041656,0.004885643502475889,-0.29280862526699986,0.48449412257598384
common bean,D4_genotype_mean_topk,mean_RMSE,error,0.5365260131810348,0.36540681331629743,0.7455751601701891,0.7797584750513551,52,10,467,0.09131116573205511,-0.09342374459028537,0.22068002911393875,-0.02416933000814614,-0.11888179102685692,0.1101298107392769,-0.04055555930050908,-0.1312700807976832,0.07649179674398138,-0.11548049574020125,-0.1675506563016621,0.08469006358957516
common bean,D4_genotype_mean_topk,mean_MAE,error,0.5088582542114517,0.3674276042159839,0.7481087910143391,0.7797584750513551,52,10,467,0.09131116573205511,-0.09342374459028537,0.22068002911393875,-0.02416933000814614,-0.11888179102685692,0.1101298107392769,-0.04055555930050908,-0.1312700807976832,0.07649179674398138,-0.11548049574020125,-0.1675506563016621,0.08469006358957516
