dataset,decision,rule,family,recovery,ci_lo,ci_hi,outcome_reliability,n_methods,n_env,tau,paired_pearson_minus_rmse,paired_ci_lo,paired_ci_hi,paired_spearman_minus_rmse,paired_spearman_ci_lo,paired_spearman_ci_hi
maize (5 verified),D1_within_env_topk,mean_RMSE,error,0.06108512684460222,-0.9713926253111921,0.655094988495143,,5,23,13.755031960315659,0.03905703737654361,-0.734457451883129,1.1874930931979304,0.6761747089933865,-0.288887906457831,1.6107863408069214
maize (5 verified),D1_within_env_topk,mean_MAE,error,0.006888037970789599,-1.0406225278796593,0.6112738124848789,,5,23,13.755031960315659,0.03905703737654361,-0.734457451883129,1.1874930931979304,0.6761747089933865,-0.288887906457831,1.6107863408069214
maize (5 verified),D1_within_env_topk,mean_r2_score,error,-0.553223046756652,-1.1737454186332743,0.5051881333520386,,5,23,13.755031960315659,0.03905703737654361,-0.734457451883129,1.1874930931979304,0.6761747089933865,-0.288887906457831,1.6107863408069214
maize (5 verified),D1_within_env_topk,mean_pearson_r,correlation,0.10014216422114583,-0.34502563926083546,0.5848113680464726,,5,23,13.755031960315659,0.03905703737654361,-0.734457451883129,1.1874930931979304,0.6761747089933865,-0.288887906457831,1.6107863408069214
maize (5 verified),D1_within_env_topk,mean_spearman_r,correlation,0.7372598358379887,-0.0632757656596397,0.876957080317658,,5,23,13.755031960315659,0.03905703737654361,-0.734457451883129,1.1874930931979304,0.6761747089933865,-0.288887906457831,1.6107863408069214
maize (5 verified),D1_within_env_topk,mean_NDCG@10%,correlation,0.727344059291984,0.10432858808679965,0.9657533757330418,,5,23,13.755031960315659,0.03905703737654361,-0.734457451883129,1.1874930931979304,0.6761747089933865,-0.288887906457831,1.6107863408069214
maize (5 verified),D2_absolute_threshold,mean_RMSE,error,-0.02564102564102564,-0.25,0.6579982517482514,,5,23,13.755031960315659,1.0256410256410255,0.3420017482517483,1.25,-0.22435897435897437,-0.9079982517482517,0.0
maize (5 verified),D2_absolute_threshold,mean_MAE,error,0.038461538461538464,-0.25,0.6867897727272726,,5,23,13.755031960315659,1.0256410256410255,0.3420017482517483,1.25,-0.22435897435897437,-0.9079982517482517,0.0
maize (5 verified),D2_absolute_threshold,mean_r2_score,error,-0.041666666666666664,-0.25,0.5182291666666665,,5,23,13.755031960315659,1.0256410256410255,0.3420017482517483,1.25,-0.22435897435897437,-0.9079982517482517,0.0
maize (5 verified),D2_absolute_threshold,mean_pearson_r,correlation,1.0,1.0,1.0,,5,23,13.755031960315659,1.0256410256410255,0.3420017482517483,1.25,-0.22435897435897437,-0.9079982517482517,0.0
maize (5 verified),D2_absolute_threshold,mean_spearman_r,correlation,-0.25,-0.25,-0.12528409090909098,,5,23,13.755031960315659,1.0256410256410255,0.3420017482517483,1.25,-0.22435897435897437,-0.9079982517482517,0.0
