method,spearman,pearson,rmse,sel_diff,rank_spearman,rank_rmse
ens_ml,0.34063406020492,0.33925206386511897,26.27791877011732,0.5733745556339905,1,2
rf,0.339833983289627,0.34015153845961327,26.21381863049472,0.6241058186250943,2,1
gbm,0.3225781839911147,0.3239790780044265,26.473579920825546,0.5918819489429051,3,3
gblup_gxe,0.2873303283171359,0.2896292448848544,26.65810368902469,0.50068910527868,4,4
ridge_pc60_lo,0.26690632198689423,0.2693266062063284,26.915570280923777,0.4817522776581056,5,8
ridge_pc60_hi,0.2669061620657157,0.26932694876669533,26.915546486474557,0.4817522776581056,6,7
gblup,0.26687545601365914,0.26979363322143113,26.85191225982473,0.4922877915690397,7,5
knn10,0.25881994962648375,0.2626075692953787,31.398245825694296,0.5467058557412496,8,17
mlp,0.25806542934620696,0.2525697253619964,28.880503461682576,0.4132654404303747,9,16
ens_lin,0.2550003401960178,0.2600974537214714,26.90388615625283,0.5341056454481397,10,6
reaction_norm_EC,0.23257336176223586,0.23661051419550705,27.081173060324726,0.5360395653619912,11,9
ridge_pc30_lo,0.22859956878198737,0.23287580327944674,27.12638875777148,0.5121982650547093,12,11
ridge_pc30_hi,0.22859910179184162,0.23287596903768729,27.126380530732586,0.5121982650547093,13,10
ridge_pc15_lo,0.21620040314219838,0.21688695153712403,27.197020358854537,0.4841037496134673,14,13
ridge_pc15_hi,0.21620021015133467,0.21688693295499856,27.19701760406548,0.4841037496134673,15,12
ridge_pc5_hi,0.04299059767805282,0.07186648145303236,27.76923137956994,0.14517115698238764,16,14
ridge_pc5_lo,0.04298805042493836,0.07186647395055647,27.76923196691204,0.14517115698238764,17,15
