Trial,reliability,r_max,n
Dar16C_hiP,0.6034908079295614,0.7768467081281618,380
Dar16C_loP,0.370810847085409,0.6089424004660942,385
Dar16C_mdP,0.5902940264157731,0.7683059458417416,383
Pal13C_drt,0.683280604724875,0.8266078905532387,216
Pal15C_drt,0.6883871761843354,0.8296910124765335,379
Pal15C_irr,0.5155421288780024,0.7180126244558673,380
Pal16C_drt,0.8408031967457577,0.9169532140440741,381
Pal17C_drt,0.3725527677065972,0.6103710082454745,342
Pal18A_irr,0.3305366389384009,0.574923159159901,379
Pal18C_drt,0.7685727747986522,0.8766828245144604,325
