dataset,unit,s2g,s2e,entries,plots,n0,n_harm,n_bar,frac_single,ceiling_n1,ceiling_n2,ceiling_n3,ceiling_n4,ceiling_n_harm,ceiling_inf,H2_n1,H2_n2,legacy_H2,legacy_ceiling,legacy_nbar,blue_reliability,blue_ceiling,blue_lines
maize_G2F,ARH1_2016,0.48850464359123275,0.7525098385561705,243.0,488.0,2.008095109063812,1.979633401221996,2.0082304526748973,0.01646090534979424,0.6274020355487862,0.7515998097877479,0.8128527466707244,0.8496851899031327,0.7499232379440822,1.0,0.3936333142107603,0.5649022740729788,0.5397769214566295,0.7346951214324412,2.0251046025104604,,,
maize_G2F,ARH1_2018,0.04191624251021648,0.4791452104798312,446.0,505.0,1.1320057848481477,1.065710872162485,1.1322869955156951,0.8811659192825112,0.28362643035148455,0.38588737983518345,0.45594471226547956,0.5091347551728345,0.29202603438837044,1.0,0.08044395199392552,0.14890906991606315,0.19052339823364106,0.43648986040186666,2.1132075471698113,,,
maize_G2F,ARH2_2016,0.02536913271386457,0.09709365273439349,239.0,440.0,1.840603514132926,1.7081596188207266,1.8410041841004183,0.17573221757322174,0.4551460138176395,0.5858463142929698,0.6628849762514761,0.7148678851639269,0.5555074666838044,1.0,0.2071578938940869,0.34321590397065727,0.3299692499799707,0.5744294995732467,2.020304568527919,,,
maize_G2F,ARH2_2017,0.19121233665666873,2.95308994375414,188.0,375.0,1.9945811051693405,1.973753280839895,1.9946808510638299,0.015957446808510637,0.24660155398022668,0.3386035664101593,0.40330412425675016,0.4535621476335586,0.3366277651065168,1.0,0.06081232642546266,0.11465237518567918,0.12025153669795693,0.3467730334065164,2.0108108108108107,,,
maize_G2F,ARH2_2018,0.16950118649715906,0.3044255162690497,433.0,502.0,1.159030544488712,1.0811485642946317,1.1593533487297922,0.8545034642032333,0.5980407558717914,0.7258576000262301,0.7908983510960019,0.8307407247530235,0.6130006390853441,1.0,0.35765274568370364,0.5268692555158387,0.6560112456213012,0.8099452114935314,2.0952380952380953,,,
maize_G2F,COH1_2017,1.1588065813302755,1.810860677245995,222.0,916.0,4.124750538441779,3.8866194247603167,4.126126126126126,0.009009009009009009,0.6246713403300964,0.7492481958353842,0.8108675701028238,0.8479834783185536,0.8445300252291273,1.0,0.39021428342979914,0.5613728589625782,0.7497827278317705,0.8658999525532788,4.154545454545454,,,
maize_G2F,DEH1_2014,0.10293004275104903,5.334327925987546,242.0,464.0,1.9170303333810272,1.8127340823970037,1.9173553719008265,0.1115702479338843,0.13758817412775443,0.19276306486999292,0.2339225750246653,0.2676803206092451,0.18383689911066514,1.0,0.01893050565980927,0.0371575991780731,,,,,,
maize_G2F,DEH1_2015,2.3665877893870513,1.7910020823926194,419.0,481.0,1.1476688318793582,1.0768901263653887,1.1479713603818615,0.8591885441527446,0.7544674135879832,0.8517525022370673,0.8936189307923411,0.9170080717014647,0.7663449561393626,1.0,0.5692210781661409,0.7254823250671053,0.7259258884866915,0.8520128452592082,2.0508474576271185,,,
maize_G2F,DEH1_2016,2.680828061344765,1.9168638063796963,240.0,483.0,2.012318407443021,1.9753086419753088,2.0125,0.020833333333333332,0.7635975906519361,0.8582779209009833,0.8986273949704675,0.9210599842513588,0.85686867920286,1.0,0.5830812804494419,0.7366409895061146,0.7422183728712357,0.8615209648471914,2.0340425531914894,,,
maize_G2F,DEH1_2017,3.938274438297891,1.2556082893099634,182.0,370.0,2.032522024787218,1.9675675675675677,2.032967032967033,0.03296703296703297,0.8707769381459609,0.9287125141018373,0.9507550727256409,0.9623816781009803,0.9276618968507486,1.0,0.7582524760068546,0.8625069338493553,0.8685334300065602,0.9319514096810844,2.0681818181818183,,,
