dataset,quantity,value,lo,hi,n_units,ceiling,ceiling_lo,ceiling_hi,winner_frac_of_ceiling,thr_min_frac_of_ceiling,thr_max_frac_of_ceiling,gap13_frac_of_ceiling,gain_to_ceiling_pct,winner_exceeds_ceiling
maize_G2F,ceiling_n1,0.6142699867392889,0.580146684321933,0.6453529467869874,192.0,,,,,,,,,
bean_VEF_rawplots,ceiling_n1,0.6025302170366819,0.511599720774888,0.7275640056695889,9.0,,,,,,,,,
maize_G2F,ceiling_n2,0.7402112228371035,0.7094380588879545,0.7669072894092801,192.0,,,,,,,,,
bean_VEF_rawplots,ceiling_n2,0.7298592306591601,0.644111934811222,0.8320182398052622,9.0,,,,,,,,,
maize_G2F,ceiling_n3,0.8032006006078667,0.7766439446523923,0.8256234561446675,192.0,,,,,,,,,
bean_VEF_rawplots,ceiling_n3,0.7943434687158679,0.7179169046924502,0.8782849294615798,9.0,,,,,,,,,
maize_G2F,ceiling_n4,0.8413901770017698,0.817878810447751,0.8605774520710753,192.0,,,,,,,,,
bean_VEF_rawplots,ceiling_n4,0.8337316795551332,0.765802027772428,0.9045134418664923,9.0,,,,,,,,,
maize_G2F,ceiling_inf,1.0,1.0,1.0,192.0,,,,,,,,,
maize_G2F,legacy_H2_own_retention_rule_PUBLISHED_0.634,0.6335225828872151,,,196.0,,,,,,,,,
maize_G2F,legacy_ceiling_own_retention_rule_PUBLISHED_0.796,0.7959385299662887,,,196.0,,,,,,,,,
maize_G2F,ceiling_legacy_estimator_on_192_ANOVA_envs,0.8005619526696228,,,192.0,,,,,,,,,
maize_G2F,ceiling_n1_repblock_removed,0.6340027704301738,,,197.0,,,,,,,,,
maize_G2F,ceiling_n2_repblock_removed,0.7572484927051794,,,197.0,,,,,,,,,
maize_G2F,train_plots_per_cell_harmonic,1.2927397678895083,,,84527.0,,,,,,,,,
maize_G2F,train_plots_per_cell_frac_single,0.5648372709311817,,,84527.0,,,,,,,,,
bean_VEF_BLUEse,ceiling_published_SE_route,0.7725763269849517,,,10.0,,,,,,,,,
bean_VEF_rawplots,ceiling_at_own_harmonic_n,0.7940044180931968,,,9.0,,,,,,,,,
bean_VEF_rawplots,plots_per_cell_harmonic,2.9697585031546887,,,9.0,,,,,,,,,
headline,n=1  single plot,,,,,0.6142699867392889,0.580146684321933,0.6453529467869874,0.5804467216324032,0.10780288101746244,0.3469076135071676,0.029739366067633367,72.28110052679389,False
headline,n=1.29 training effective (harmonic),,,,,0.6627711956193661,0.6288416132273519,0.6918985042498313,0.5379699696617014,0.09991392916701893,0.32152111702692043,0.027563056633637166,85.88398170790886,False
headline,n=1.45 implied by the 2022 variance diagnostic,,,,,0.6836428848040491,0.6497052082036039,0.7121566172566155,0.5215456898994821,0.09686354639971759,0.31170504350364897,0.026721553615285734,91.73775555363723,False
headline,n=2  two-plot mean,,,,,0.7402112228371035,0.7094380588879545,0.7669072894092801,0.48168818439877303,0.08946105145399381,0.28788395605790684,0.024679442078683805,107.60318238824279,False
headline,n=3  three-plot mean,,,,,0.8032006006078667,0.7766439446523923,0.8256234561446675,0.44391276566546417,0.0824452499698557,0.26530724079082457,0.02274400689712468,125.26948476034751,False
headline,n=4  four-plot mean,,,,,0.8413901770017698,0.817878810447751,0.8605774520710753,0.42376415811097595,0.07870317018558978,0.2532652994692116,0.021711686800405302,135.9803161404034,False
headline,legacy estimator as published (manuscript),,,,,0.7959385299662887,,,0.4479629853012662,0.08319747292024987,0.26772787988769897,0.022951521144194055,123.23272967017023,False
