method,frac,obs,ana,n
ens_all,0.05,0.454838950471853,0.45655218979962353,169
ens_all,0.1,0.38576589365096203,0.38698602691063944,169
ens_all,0.2,0.29684101320803546,0.3092951479467372,169
ens_all__biased,0.05,0.454838950471853,0.45655218979962353,169
ens_all__biased,0.1,0.38576589365096203,0.38698602691063944,169
ens_all__biased,0.2,0.29684101320803546,0.3092951479467371,169
ens_all__inflated,0.05,0.454838950471853,0.4565521897996234,169
ens_all__inflated,0.1,0.38576589365096203,0.38698602691063944,169
ens_all__inflated,0.2,0.29684101320803546,0.3092951479467371,169
ens_all__shrunk,0.05,0.454838950471853,0.4565521897996236,169
ens_all__shrunk,0.1,0.38576589365096203,0.38698602691063944,169
ens_all__shrunk,0.2,0.29684101320803546,0.3092951479467372,169
ens_linear,0.05,0.45815182287956335,0.34495744668373957,169
ens_linear,0.1,0.32734677470953183,0.29091779458003925,169
ens_linear,0.2,0.23214921870684582,0.2331058204477659,169
ens_tree,0.05,0.45496542795689315,0.4336321636647052,169
ens_tree,0.1,0.3777093763575385,0.36755769338929994,169
ens_tree,0.2,0.28411090626530144,0.294037815373357,169
env_plus_geno,0.05,0.4049853038276429,0.33020583919022084,169
env_plus_geno,0.1,0.33830249333796086,0.2784221920377502,169
env_plus_geno,0.2,0.2344997669886297,0.2231305572924762,169
gbm_deep,0.05,0.41310176365340373,0.4293463915378616,169
gbm_deep,0.1,0.34297133301809013,0.36358481876290477,169
gbm_deep,0.2,0.26919796701483756,0.2907336906567843,169
gbm_deep__biased,0.05,0.41310176365340373,0.4293463915378616,169
gbm_deep__biased,0.1,0.34297133301809013,0.36358481876290466,169
gbm_deep__biased,0.2,0.26919796701483756,0.2907336906567843,169
gbm_deep__inflated,0.05,0.41310176365340373,0.4293463915378616,169
gbm_deep__inflated,0.1,0.34297133301809013,0.3635848187629047,169
gbm_deep__inflated,0.2,0.26919796701483756,0.29073369065678434,169
gbm_deep__noise0.5,0.05,0.21691532819408235,0.23795914758820022,169
gbm_deep__noise0.5,0.1,0.1797746883705486,0.20299351388923673,169
gbm_deep__noise0.5,0.2,0.15341058540963773,0.16192248785274563,169
gbm_deep__noise1.5,0.05,0.0005845871449253492,0.09411493592525054,169
gbm_deep__noise1.5,0.1,0.07455552351870624,0.07975901895175691,169
gbm_deep__noise1.5,0.2,0.04232870915124185,0.06395664598714464,169
gbm_deep__shrunk,0.05,0.41310176365340373,0.42934639153786175,169
gbm_deep__shrunk,0.1,0.34297133301809013,0.3635848187629049,169
gbm_deep__shrunk,0.2,0.26919796701483756,0.29073369065678434,169
gbm_deep__shuffled,0.05,0.17176385344430192,0.1323061838299322,169
gbm_deep__shuffled,0.1,0.12863267654705446,0.11082555868291011,169
gbm_deep__shuffled,0.2,0.14205807958073927,0.08946364578785956,169
gbm_shallow,0.05,0.41214514767778154,0.3939311878834981,169
gbm_shallow,0.1,0.30260223800203206,0.33301225411003466,169
gbm_shallow,0.2,0.23919223551481356,0.2665015801649108,169
geno_mean,0.05,0.4049853038276429,0.33020583919022084,169
geno_mean,0.1,0.33830249333796086,0.2784221920377502,169
geno_mean,0.2,0.2344997669886297,0.2231305572924762,169
gxe_ridge,0.05,0.3391603858720081,0.312733117120436,169
gxe_ridge,0.1,0.26529403741095153,0.26317499717142717,169
gxe_ridge,0.2,0.18202057507133215,0.21119589022564061,169
knn10,0.05,0.3154054146407081,0.3837807946323878,169
knn10,0.1,0.256193175198181,0.3262893409861014,169
knn10,0.2,0.20893849497755032,0.25937379394978105,169
knn10__biased,0.05,0.3154054146407081,0.3837807946323878,169
knn10__biased,0.1,0.256193175198181,0.32628934098610146,169
knn10__biased,0.2,0.20893849497755032,0.25937379394978105,169
