metric,coverage,cell
mean_r2_score,0.8461538461538461,within-env x error-magnitude
RMSE,0.9230769230769231,pooled x error-magnitude
mean_r2_pearson,0.9230769230769231,within-env x discrimination
spearman_r,0.9230769230769231,pooled x discrimination
r2_pearson,0.9230769230769231,pooled x discrimination
pearson_r,0.9230769230769231,pooled x discrimination
mean_lineRegressSlope,0.9230769230769231,within-env x discrimination
realative_MAE,0.9230769230769231,pooled x error-magnitude
normalized_MAE,0.9230769230769231,pooled x error-magnitude
relative_RMSE,0.9230769230769231,pooled x error-magnitude
normalized_RMSE,0.9230769230769231,pooled x error-magnitude
MAE,0.9230769230769231,pooled x error-magnitude
r2_score,0.9230769230769231,pooled x error-magnitude
mean_spearman_r,1.0,within-env x discrimination
mean_RMSE,1.0,within-env x error-magnitude
mean_MAE,1.0,within-env x error-magnitude
mean_normalized_RMSE,1.0,within-env x error-magnitude
mean_relative_RMSE,1.0,within-env x error-magnitude
mean_normalized_MAE,1.0,within-env x error-magnitude
mean_realative_MAE,1.0,within-env x error-magnitude
mean_pearson_r,1.0,within-env x discrimination
lineRegressSlope,1.0,pooled x discrimination
