Env,Year,GermplasmId,Value,k
Albany_MO_2016,2016,AR14-248020,76.7,AR14248020
Albany_MO_2016,2016,DSN11-06152,84.3,DSN1106152
Albany_MO_2016,2016,HR10-3325,81.1,HR103325
Albany_MO_2016,2016,IA3023,83.9,IA3023
Albany_MO_2016,2016,LD06-7620,79.5,LD067620
Albany_MO_2016,2016,LD07-3395bf,82.94999999999999,LD073395BF
Albany_MO_2016,2016,LD11-10069,80.9,LD1110069
Albany_MO_2016,2016,LD11-13948R,85.4,LD1113948R
Albany_MO_2016,2016,LD11-14102R,76.8,LD1114102R
Albany_MO_2016,2016,LD11-2170,86.0,LD112170
Albany_MO_2016,2016,LD12-10534,80.4,LD1210534
Albany_MO_2016,2016,LD12-15156R1a,77.6,LD1215156R1A
Albany_MO_2016,2016,LD12-15609R2,73.6,LD1215609R2
Albany_MO_2016,2016,LD12-15753R2,76.6,LD1215753R2
Albany_MO_2016,2016,LD12-3866,79.7,LD123866
Albany_MO_2016,2016,LD13-13334R1a,70.8,LD1313334R1A
Albany_MO_2016,2016,LD13-14327R2,81.1,LD1314327R2
Albany_MO_2016,2016,LD13-14460R1,72.8,LD1314460R1
Albany_MO_2016,2016,LD13-14525R2,81.2,LD1314525R2
Albany_MO_2016,2016,LG10-3278,75.1,LG103278
Albany_MO_2016,2016,LG11-6759,72.8,LG116759
Albany_MO_2016,2016,LG11-6760,74.2,LG116760
Albany_MO_2016,2016,LG11-6761,77.7,LG116761
Albany_MO_2016,2016,LG12-2177,83.7,LG122177
Albany_MO_2016,2016,LG13-1006,78.2,LG131006
Albany_MO_2016,2016,LG13-3925,80.3,LG133925
Albany_MO_2016,2016,LG13-3981,80.0,LG133981
Albany_MO_2016,2016,LG13-3993,69.9,LG133993
Albany_MO_2016,2016,SA10-8471,72.2,SA108471
Albany_MO_2016,2016,SA11-9478RR,73.4,SA119478RR
Albany_MO_2016,2016,SA12-1451,90.7,SA121451
Albany_MO_2016,2016,SA12-1455,87.2,SA121455
Albany_MO_2016,2016,SA12-1471,76.9,SA121471
Albany_MO_2016,2016,SA12-1756RR,70.3,SA121756RR
Albany_MO_2016,2016,SA13-4268RR,83.3,SA134268RR
Albany_MO_2016,2016,SA13-4304RR,75.8,SA134304RR
Albany_MO_2016,2016,SA13-4342RR,79.8,SA134342RR
Albany_MO_2016,2016,SA13-4420RR,83.5,SA134420RR
Albany_MO_2016,2016,SA13-4434RR,77.5,SA134434RR
Albany_MO_2016,2016,U03-827101,73.9,U03827101
Albany_MO_2016,2016,U11-346046,75.5,U11346046
Albany_MO_2016,2016,U11-377007,89.5,U11377007
Albany_MO_2016,2016,U11-396034,77.6,U11396034
Albany_MO_2016,2016,U11-494100,83.9,U11494100
Albany_MO_2016,2016,U11-614093,80.2,U11614093
Albany_MO_2016,2016,U11-920017,77.2,U11920017
Albany_MO_2016,2016,U12-209068,77.0,U12209068
Albany_MO_2016,2016,U12-428210,82.9,U12428210
Albany_MO_2016,2016,U12-428214,79.0,U12428214
Albany_MO_2016,2016,U12-909109R,83.3,U12909109R
Albany_MO_2016,2016,U13-602187,81.4,U13602187
Albany_MO_2016,2016,U13-614037,74.6,U13614037
Albany_MO_2016,2016,U13-931068,82.2,U13931068
Albany_MO_2017,2017,AR13-232008,73.5,AR13232008
Albany_MO_2017,2017,AR13-332062,79.5,AR13332062
Albany_MO_2017,2017,CR144155,55.8,CR144155
