metric,rel
mean_pearson_r,0.0
mean_spearman_r,0.0
mean_r2_pearson,0.0
mean_lineRegressSlope,0.07724733405819156
pearson_r,0.582417694128168
spearman_r,0.6084428526127662
r2_pearson,0.8256247482441801
lineRegressSlope,0.8657440807178545
mean_relative_RMSE,1.1307710226898129
mean_RMSE,1.1846196491949066
mean_normalized_RMSE,1.1979072439753118
mean_realative_MAE,1.2976646286078481
mean_MAE,1.3689892848907523
mean_normalized_MAE,1.3751007080638966
relative_RMSE,1.4622858153365466
RMSE,1.4622858153365468
normalized_RMSE,1.4622858153365468
realative_MAE,1.528100003390497
MAE,1.528100003390497
normalized_MAE,1.528100003390497
mean_r2_score,5.469650892964317
r2_score,29.896359293785395
