method,RMSE,MAE,normalized_RMSE,relative_RMSE,normalized_MAE,realative_MAE,r2_score,pearson_r,r2_pearson,spearman_r,lineRegressSlope,mean_RMSE,mean_MAE,mean_normalized_RMSE,mean_relative_RMSE,mean_normalized_MAE,mean_realative_MAE,mean_r2_score,mean_pearson_r,mean_r2_pearson,mean_spearman_r,mean_lineRegressSlope
ens_all,13.39756773739771,10.61612493335482,0.898844767124955,0.22158111157475716,0.7122373650595321,0.1755790908810261,0.1920780846120853,0.4723829898450839,0.22314568909498067,0.4563846590693098,0.728282195112706,12.80498371979742,11.279087632940074,1.9175791372739375,0.24374620773629285,1.7053749216094456,0.21649061086710514,-4.03856579342734,0.22052525228457073,0.09916366294015067,0.20394084840910617,0.5698253166525076
ens_linear,13.97249874990781,11.09327524077146,0.9374169723327738,0.23108984146721248,0.7442494485481143,0.18347063489692167,0.12124941998245575,0.44863163484408686,0.2012703437828781,0.4291597065238718,0.6135292659808905,13.412109554202981,11.815522674189435,2.0134922986206845,0.2548853191827975,1.7938381306651991,0.22647264685788995,-4.546712181987506,0.1670627824022717,0.07630909120308753,0.14099450813585995,0.38521079996093394
ens_tree,13.584003106168721,10.703100340212632,0.9113527431181694,0.22466454858801568,0.7180725577493579,0.1770175689472668,0.16943617761098795,0.46579140187609086,0.21696163006169397,0.45584808992496206,0.6811966799428893,12.960912701587654,11.401070343673073,1.9521926355029133,0.24628124811593716,1.7351469396752852,0.2184719002895554,-4.3940345981021105,0.2073590917406008,0.0939685600482585,0.19134167402187793,0.5433541225899117
env_index,14.018520422823078,11.221538127401567,0.9405045730588932,0.23185098958312234,0.7528546242578813,0.18559196270435296,0.11545114805530887,0.43165113145024203,0.18632269928227413,0.38993368318370025,0.6299225713804095,,,,,,,,,,,
env_plus_geno,14.6250888676896,11.571502425728523,0.9811993382026816,0.24188296799100326,0.7763337799074306,0.19137998928908206,0.03724785871061953,0.44238023317477104,0.1957002707037648,0.42490119554295736,0.5295068356204122,14.068441365430234,12.340600562552298,2.121769102776125,0.2670522272162188,1.8830749115957743,0.23623358978801168,-5.242708833472366,0.1623377714401538,0.07948733383834217,0.14773173537499593,0.2893846848808482
gbm_deep,13.568912401776245,10.700034876515227,0.9103403055667216,0.22441496484869283,0.7178668953442682,0.17696686953175522,0.17128052806068772,0.46491619400691686,0.21614706744987716,0.46094921402198574,0.6870104662995519,12.958399700552432,11.413514187890268,1.951153293989563,0.24624440115848453,1.7360001789808546,0.21871947260457897,-4.37592322170308,0.20504031963266814,0.09259687821732418,0.18050146698784206,0.5546430243532486
gbm_shallow,13.57337891744877,10.722865777056345,0.9106399647524949,0.22448883613092727,0.7193986237805314,0.1773444676465259,0.17073485459557491,0.46516014504533254,0.2163739605385948,0.4497753616054474,0.6853050608182778,12.929591354758768,11.395094569565659,1.9403021985293087,0.24570372565394558,1.7284919004393928,0.21845470925091517,-4.25887399542411,0.19022565973107355,0.08659599166184136,0.18164635167933182,0.554693239676459
geno_mean,14.96468960994479,11.898374456056573,1.0039832013688115,0.24749959269747654,0.7982636719399783,0.196786095027261,-0.007982268630767564,0.1790462567255749,0.03205756204744047,0.10954279456869559,0.4867724925633888,13.897487884311817,12.235802956975608,2.0144317382546255,0.2640503921420357,1.7796534449929202,0.23437697472006916,-4.075123837902131,0.16233777144015377,0.07948733383834218,0.14773173537499593,0.2893846848808482
global_mean,15.362368084158602,12.314546258732072,1.0306635080148858,0.254076759545432,0.8261846986809479,0.20366912129370027,-0.062267266753550654,-0.16897076362342095,0.028551118959481998,-0.17731283695955538,-3.5933040445921924,,,,,,,,,,,
gxe_ridge,13.830165625552494,10.995116768210483,0.9278678223286125,0.2287358073226025,0.7376639823545654,0.1818472011597793,0.13906130428715824,0.4486924781503889,0.2013249399487372,0.4244932262616881,0.642848545895581,13.279146173260381,11.716797338795951,1.9945374197363643,0.25183545186306483,1.7794578144115496,0.22405776489928442,-4.477100935870507,0.1410511652364887,0.07647912240953633,0.12299814574664437,0.36226638802010747
knn10,13.538160421893513,10.72089980137186,0.9082771507659314,0.22390636074837397,0.7192667261860627,0.17731195255975524,0.17503261739652143,0.4486242706029338,0.20126373617401438,0.430946225109412,0.7384156204520713,13.006312864419504,11.245751048765054,1.9204719526684304,0.24729516355036807,1.6642891625227672,0.21585757302451847,-3.661311985081751,0.19180604978890067,0.0770362700552809,0.18187034050937,0.27194792939377715
knn50,13.212877148633291,10.47602051395975,0.886453848676024,0.21852653131377578,0.7028377391951437,0.17326191707794553,0.2141995741674647,0.463015220651951,0.21438309455537488,0.44389490144412674,0.9926120424628642,12.46656579170326,10.930250080286518,1.8188946293493427,0.23744262759804563,1.6000529366849896,0.21007955238345372,-3.1739483613256603,0.21567609119514924,0.09111773033333206,0.2013438919919767,0.40173411712940443
markeronly_pc100,14.204263983488831,11.214257974663546,0.9529661355457568,0.23492298484725416,0.7523661977523616,0.18547155694356537,0.09185554450298627,0.3083656701678269,0.095089386538053,0.27200014340043616,0.8688904552036781,13.047412449016067,11.575262311381735,1.883664561090786,0.246590847630584,1.673390044921836,0.21999481704906912,-3.5360958582323305,0.3067515500985133,0.13779957546179863,0.29343393514043603,0.5558033406398478
markeronly_pc25,14.262681829170383,11.248421182059252,0.956885397304815,0.23588915209758188,0.7546582123028921,0.18603657901459164,0.08437033642480607,0.29449383897361203,0.08672662119341573,0.2602096206603451,0.953294587880873,13.072179891213533,11.615678234557386,1.8871672133312474,0.24691974534788474,1.6804270757542314,0.22072464549140522,-3.579659033922092,0.2891335142351745,0.13119802203498213,0.2776019229489514,0.6061534283775571
mlp,13.623917248347299,10.83549159452595,0.9140305887193042,0.22532468482802848,0.726954706247138,0.1792071754391702,0.1645480828854421,0.4711760957184685,0.2220069131764994,0.4496264866614804,0.6680684810372116,13.06634292225542,11.532564391942058,1.9565982260782222,0.24921310201958213,1.744722405184973,0.22176854349809433,-4.192636421653999,0.23668490110727416,0.09813063668092967,0.22283062798639372,0.5346493735683777
reaction_norm,13.830946301195487,10.995205879836726,0.9279201979709888,0.22874871884356993,0.7376699608665244,0.18184867496857685,0.1389641061974809,0.4486444181410416,0.2012818139291138,0.4244571310806148,0.6426837942702626,13.27977825877998,11.71698449828024,1.9946244294072124,0.2518835766129897,1.7794859404541672,0.2240995364569201,-4.476911800537097,0.14078392227988096,0.0764015211751869,0.1228359549058211,0.36125621875271735
rf_large,13.96267375455343,10.96925397934018,0.9367578119661751,0.23092734679396196,0.7359288440895475,0.18141945892935127,0.12248480172034393,0.4475610110104691,0.2003108585767132,0.4392649573607758,0.6160594161631756,13.40421904206215,11.693277390549214,2.029006846630621,0.25404617210381053,1.7861963651778083,0.22338546957161576,-4.825301582441301,0.17414766278767188,0.07830402029327513,0.16107847722604252,0.3184838017732055
rf_small,13.751769933870984,10.856300084360345,0.9226082439772099,0.22743922835797659,0.7283507508550865,0.17955132509365015,0.1487940281452892,0.450920826871435,0.20332959210641863,0.44530625938551954,0.6588588731502065,13.117344070611283,11.555244470019792,1.9746704325994744,0.24890795033433671,1.7568562327168835,0.22096545413362476,-4.518245568729917,0.19117251547779182,0.0926549552402667,0.1778101617646578,0.598671643585982
ridge_pc100_hi,13.754956733876254,10.944221669641944,0.922822046852833,0.22749193454326147,0.7342494227929114,0.18100545191576956,0.14839946984234764,0.4505418675467091,0.20298797441247637,0.42986932921936083,0.6588599890439605,13.196858964816107,11.644395465848012,1.9762777512714462,0.250724740021178,1.7624799620740448,0.22310916429175598,-4.295449888559912,0.1608136451919916,0.0695749497056495,0.12800458830622527,0.4113848740700039
ridge_pc100_lo,13.756995222602669,10.945806507873112,0.922958809357826,0.22752564891640628,0.7343557498202304,0.1810316634060797,0.148147036228784,0.4504331121016565,0.20288998847758344,0.4297472692433635,0.6584885816236231,13.199130771667896,11.646135177229251,1.9766559886805695,0.25076689216936926,1.762774437854904,0.2231415721246272,-4.297416782793178,0.16033426963780673,0.06941384755886446,0.12731989086052145,0.40944766067761945
ridge_pc10_hi,13.776108678787828,10.958223406416165,0.924241133911838,0.22784176456893038,0.7351888013485457,0.18123702532216845,0.14577832638535992,0.44662822772739175,0.1994767738029109,0.42525515849705664,0.6587824447242736,13.198389869857357,11.64613223410686,1.9765725951853264,0.25059414384741635,1.7634754545222215,0.22299444619675582,-4.322382225663985,0.15073524524497908,0.07163243957929005,0.11911285303257038,0.4163298095530933
ridge_pc10_lo,13.777637737411515,10.95931967757071,0.9243437186771826,0.22786705352556344,0.7352623503396705,0.18125515644759155,0.14558868974203765,0.4465569280578918,0.19941308999650117,0.4251792078360486,0.6584817389257808,13.200013613160744,11.647339844550293,1.9768482398117522,0.2506244012761611,1.763689121223027,0.22301725698837802,-4.324005815278875,0.15043135014189324,0.07153404403220304,0.11862789458817963,0.41501244808941057
ridge_pc25_hi,13.778366201457219,10.961862382604156,0.9243925914359066,0.22787910152383842,0.735432940790001,0.18129721000677193,0.14549833689840896,0.4470125071377812,0.19982018153760486,0.42574341769971535,0.65759439767695,13.198377751344113,11.648248174521088,1.9768914617690754,0.2506412847538427,1.7641191093630788,0.2230765990135054,-4.3211041046980965,0.1568245876998235,0.0733674796636668,0.1272313578730716,0.421200297128097
ridge_pc25_lo,13.780000598376335,10.963049465495086,0.9245022433628046,0.22790613266062315,0.7355125823537213,0.18131684305895418,0.14529560201714153,0.44693337369942643,0.19974944052635116,0.42565154883526873,0.6572804363624666,13.200077229157246,11.649529073927466,1.9771802344481335,0.2506728425791111,1.764344673053888,0.223100646527862,-4.3228076310644825,0.15651295580957167,0.07326515519109207,0.12678891255658323,0.41987716713641826
ridge_pc50_hi,13.750079642232295,10.939498562245456,0.9224948420654503,0.22741127278368672,0.7339325488310763,0.1809273368871678,0.14900326636263994,0.45000443292458026,0.20250398965177305,0.4289435262697551,0.6608039179769876,13.172154469119471,11.630147543374303,1.9722408253917025,0.2502459220284223,1.76039924333053,0.22283941657707945,-4.290710909745511,0.16743647042327037,0.07485899464960007,0.14311278999445423,0.44070825727026774
