method,RMSE,MAE,normalized_RMSE,relative_RMSE,normalized_MAE,realative_MAE,r2_score,pearson_r,r2_pearson,spearman_r,lineRegressSlope,mean_RMSE,mean_MAE,mean_normalized_RMSE,mean_relative_RMSE,mean_normalized_MAE,mean_realative_MAE,mean_r2_score,mean_pearson_r,mean_r2_pearson,mean_spearman_r,mean_lineRegressSlope
ens_all,13.401364121863816,10.616820332631146,0.8990994671106717,0.22164389962005412,0.712284019498072,0.17559059202419305,0.19162014824130602,0.4723235266550066,0.22308951383182274,0.4562622331135472,0.7269873162699122,12.742667847863538,11.20111809304587,1.8998269585807277,0.24050277948380644,1.6868830063011975,0.21325927135789777,-4.004384452194448,0.22164133640737452,0.0952617393124632,0.2048469065927122,0.5768428720042555
ens_all__biased,17.964577557945653,14.462197272659381,1.2052461198980475,0.29711445706291406,0.9702709174123278,0.23918891923525562,-0.45261820952929877,0.4723235266550065,0.22308951383182263,0.4562622331135472,0.7269873162699125,16.331469756016322,14.715927930658056,2.42338554338713,0.3251928690836715,2.2080659986045026,0.2979576869237083,-6.9501331248710185,0.2216413364073745,0.0952617393124632,0.2048469065927122,0.5768428720042554
ens_all__inflated,25.63448173808027,19.991629132679805,1.7198211063278526,0.42396628026080224,1.3412413047222513,0.33063967223276824,-1.9577846377707595,0.4723235266550065,0.22308951383182263,0.4562622331135472,0.24232910542330416,23.888299623772838,21.593993610276794,3.7062065810463665,0.4206268251421291,3.374382151693332,0.37949757610110474,-22.298318593254223,0.22164133640737452,0.0952617393124632,0.2048469065927122,0.19228095733475184
ens_all__shrunk,13.926343499783401,11.08650829620465,0.9343204098922746,0.23032648413041548,0.7437954532534069,0.1833587170377648,0.12704537165873175,0.4723235266550065,0.22308951383182263,0.4562622331135472,2.907949265079651,13.139817407611007,11.663259251900081,1.8939970359035763,0.2506313802321856,1.6893490235021424,0.22455344505936525,-3.5502446261353624,0.2216413364073746,0.09526173931246323,0.2048469065927122,2.307371488017023
ens_linear,13.972498749931038,11.093275240790483,0.9374169723343321,0.23108984146759665,0.7442494485493905,0.18347063489723628,0.12124941997953409,0.4486316348428585,0.20127034378177594,0.4291597065238718,0.6135292659775096,13.40016365209494,11.782343809148118,2.004472210986394,0.2529544684725635,1.7834669696447834,0.22443114510163684,-4.569892034559322,0.16632625284158933,0.07215833779351029,0.13883203373119862,0.38696875918574714
ens_tree,13.586423426009624,10.70249601787681,0.9115151227281408,0.2247045780300178,0.7180320136759963,0.17700757411704496,0.1691401810379023,0.4658703356119337,0.21703516960317573,0.45550198417675175,0.6804009496388868,12.876661348876183,11.309671802766985,1.9313635969686687,0.24248833157713243,1.7152825775288356,0.214941155075308,-4.3527505719123045,0.2101766654310345,0.09153418812049745,0.1981898041476551,0.5578231895330655
env_plus_geno,14.6250888676896,11.571502425728525,0.9811993382026816,0.24188296799100326,0.7763337799074307,0.1913799892890821,0.03724785871061953,0.44238023317476466,0.19570027070375914,0.42490119554295736,0.529506835620412,14.074110860823179,12.320600618459801,2.1170717451017684,0.2655006446226183,1.876468496693463,0.23451982932819307,-5.306223124452705,0.15915468723163198,0.07499894166643976,0.14381017974046256,0.288631760402319
gblup,13.365309596722321,10.635538864889789,0.8966805637776327,0.22104759722287706,0.7135398485484432,0.17590017606707423,0.19596396654342674,0.4977638531025521,0.24776885345549907,0.4803621590242423,0.6877999961974929,12.538153280330956,11.145415926523933,1.8813391590656419,0.2336804303414134,1.692193007398368,0.20898536061038336,-4.155865085210257,0.3416786417700379,0.16449646374268104,0.3263746988977683,0.9222022232010626
gblup_gxe,13.430097581409743,10.659186315864568,0.9010271990886307,0.22211911960254416,0.7151263594720038,0.17629127903259795,0.18814998650249692,0.5008038095128945,0.2508044556226275,0.4814332195557208,0.668067468546378,12.604886925307527,11.215423475804165,1.8961632833951465,0.23471084849198112,1.7070959894807556,0.21005819404799383,-4.2631077266806,0.3601432344459976,0.1826643771925037,0.34104403254612714,0.8990900805132153
gbm_deep,13.585930877628178,10.702241036758776,0.9114820775856272,0.2246964318187051,0.7180149069557205,0.1770033570083375,0.16920042224018872,0.465028138156536,0.21625116927733432,0.46055232662560586,0.6819202216034288,12.88087076060706,11.324052107527196,1.9320361820512317,0.24263405557530143,1.7170440122028565,0.21525854481268483,-4.365904845505629,0.2116722481673665,0.08978554404070153,0.18673329026453378,0.5796828103529198
