dataset,method,median_rank,conformal_lo,conformal_hi,conformal_width,observed_lo,observed_hi,observed_range,observed_iqr
maize,AIBreeding,12.0,3,21,19,9,16,8,4.0
maize,AIMaize,24.5,16,30,15,24,30,7,3.0
maize,AgroStat,11.0,2,20,19,7,23,17,2.0
maize,AllModelsAreWrong,13.5,4,22,19,4,21,18,5.0
maize,BioSense,20.0,11,29,19,10,21,12,1.0
maize,CGM,4.0,1,13,13,2,7,6,0.0
maize,CLAC,1.0,1,10,10,1,7,7,0.0
maize,CropEnthusiast,17.0,8,26,19,16,24,9,2.0
maize,CropsAreCool,15.0,6,24,19,8,23,16,3.5
maize,DataJanitors,10.5,2,20,19,1,20,20,6.5
maize,DeepCropVision,20.0,11,29,19,16,30,15,5.0
maize,EnBiSys,25.0,16,30,15,11,29,19,3.0
maize,G2P,22.0,13,30,18,14,29,16,1.75
maize,Genetwister,26.0,17,30,14,23,27,5,1.0
maize,Kernel of Truth,20.0,11,29,19,14,30,17,2.75
maize,ML_APT,8.0,1,17,17,7,16,10,2.75
maize,MPB_Group,11.0,2,20,19,2,14,13,3.5
maize,Niche Squad,28.0,19,30,12,19,30,12,1.75
maize,Purdue,3.0,1,12,12,3,19,17,3.0
maize,SmAL,6.0,1,15,15,5,20,16,2.0
maize,TinyAfrica,30.0,21,30,10,1,30,30,3.25
maize,UCD_MegaLMM,5.0,1,14,14,2,9,8,2.0
maize,agAdaptAR,18.0,9,27,19,16,22,7,1.75
maize,arulrich,12.0,3,21,19,10,17,8,1.75
maize,cropmodel,23.0,14,30,17,22,28,7,1.0
maize,gartybois,25.0,16,30,15,11,28,18,8.0
maize,igorkf,7.0,1,16,16,4,10,7,1.0
maize,phenomaize,2.0,1,11,11,1,8,8,2.0
maize,supermanwasd,19.0,10,28,19,7,26,20,2.0
maize,uwaBioinfo,28.0,19,30,12,24,29,6,2.0
common bean,ens,2.0,1,27,27,1,8,8,0.0
common bean,ens__biased,29.5,4,52,49,2,36,35,31.5
common bean,ens__inflated,48.0,23,52,30,4,48,45,37.5
common bean,ens__noise,35.0,10,52,43,25,50,26,8.0
common bean,ens__shrunk,20.0,1,45,45,4,51,48,17.75
common bean,ens__shuffled,25.0,1,50,50,19,51,33,21.5
common bean,gblup,9.0,1,34,34,6,20,15,5.25
common bean,gblup_gxe,1.0,1,26,26,1,17,17,0.0
common bean,gbm,4.0,1,29,29,3,24,22,5.0
common bean,gbm__biased,27.5,2,52,51,4,34,31,15.0
common bean,gbm__inflated,49.0,24,52,29,8,51,44,22.5
common bean,gbm__noise,39.0,14,52,39,32,51,20,7.5
common bean,gbm__shrunk,21.0,1,46,46,9,50,42,9.25
common bean,gbm__shuffled,24.0,1,49,49,18,46,29,21.0
common bean,knn10,8.0,1,33,33,5,29,25,5.0
common bean,knn10__biased,39.0,14,52,39,10,44,35,19.0
common bean,knn10__inflated,51.0,26,52,27,12,51,40,22.75
common bean,knn10__noise,40.0,15,52,38,34,52,19,7.75
common bean,knn10__shrunk,23.0,1,48,48,13,50,38,8.25
common bean,knn10__shuffled,26.5,2,52,51,20,49,30,20.0
common bean,knn30,13.0,1,38,38,6,36,31,11.25
common bean,markeronly_pc80,37.0,12,52,41,23,48,26,8.75
common bean,markeronly_pc80__biased,46.0,21,52,32,24,49,26,1.0
common bean,markeronly_pc80__inflated,45.0,20,52,33,31,50,20,0.75
common bean,markeronly_pc80__noise,44.0,19,52,34,28,51,24,1.0
common bean,markeronly_pc80__shrunk,40.0,15,52,38,30,50,21,5.0
common bean,markeronly_pc80__shuffled,42.0,17,52,36,25,52,28,3.0
common bean,mlp,14.0,1,39,39,12,30,19,7.5
common bean,mlp__biased,33.0,8,52,45,16,41,26,8.5
common bean,mlp__inflated,52.0,27,52,26,15,52,38,22.25
common bean,mlp__noise,38.5,14,52,39,33,47,15,6.75
common bean,mlp__shrunk,23.5,1,48,48,17,47,31,10.0
common bean,mlp__shuffled,27.5,2,52,51,21,44,24,17.75
common bean,rf,3.0,1,28,28,1,10,10,3.0
common bean,rf__biased,31.5,6,52,47,2,39,38,25.5
common bean,rf__inflated,47.0,22,52,31,6,47,42,31.5
common bean,rf__noise,34.0,9,52,44,23,48,26,6.0
common bean,rf__shrunk,22.0,1,47,47,7,52,46,12.75
common bean,rf__shuffled,23.0,1,48,48,17,42,26,22.25
common bean,ridge_pc20_hi,7.0,1,32,32,5,19,15,3.75
common bean,ridge_pc20_lo,8.0,1,33,33,6,20,15,3.75
common bean,ridge_pc40_hi,12.0,1,37,37,9,22,14,4.5
common bean,ridge_pc40_lo,13.0,1,38,38,10,24,15,5.25
common bean,ridge_pc40_lo__biased,31.0,6,52,47,12,39,28,12.5
common bean,ridge_pc40_lo__inflated,50.0,25,52,28,16,50,35,23.75
common bean,ridge_pc40_lo__noise,38.0,13,52,40,31,49,19,7.5
common bean,ridge_pc40_lo__shrunk,23.0,1,48,48,17,49,33,5.75
common bean,ridge_pc40_lo__shuffled,29.0,4,52,49,22,52,31,21.5
common bean,ridge_pc5_hi,11.0,1,36,36,1,38,38,13.5
common bean,ridge_pc5_lo,12.0,1,37,37,2,38,37,13.5
common bean,ridge_pc80_hi,15.0,1,40,40,15,35,21,15.0
common bean,ridge_pc80_lo,16.0,1,41,41,16,36,21,15.0
spring wheat,ens,1.0,1,31,31,1,11,11,1.75
spring wheat,ens__biased,38.0,8,52,45,2,40,39,32.75
spring wheat,ens__inflated,47.0,17,52,36,3,51,49,32.0
spring wheat,ens__noise,32.0,2,52,51,20,46,27,4.75
spring wheat,ens__shrunk,19.0,1,49,49,3,52,50,9.5
spring wheat,ens__shuffled,27.5,1,52,52,21,52,32,18.0
spring wheat,gblup,12.0,1,42,42,9,32,24,10.75
spring wheat,gblup_gxe,9.0,1,39,39,6,29,24,13.25
spring wheat,gbm,3.0,1,33,33,1,14,14,6.75
spring wheat,gbm__biased,41.0,11,52,42,6,43,38,29.25
spring wheat,gbm__inflated,50.0,20,52,33,7,51,45,32.25
spring wheat,gbm__noise,35.0,5,52,48,24,47,24,4.0
spring wheat,gbm__shrunk,20.0,1,50,50,8,50,43,5.0
spring wheat,gbm__shuffled,25.0,1,52,52,17,43,27,8.5
spring wheat,knn10,15.0,1,45,45,15,34,20,6.0
spring wheat,knn10__biased,39.5,10,52,43,16,44,29,12.75
spring wheat,knn10__inflated,45.0,15,52,38,20,46,27,11.25
spring wheat,knn10__noise,29.0,1,52,52,19,50,32,10.0
spring wheat,knn10__shrunk,28.0,1,52,52,2,52,51,5.75
spring wheat,knn10__shuffled,28.0,1,52,52,22,49,28,13.75
spring wheat,knn30,16.0,1,46,46,12,52,41,16.25
spring wheat,markeronly_pc80,37.0,7,52,46,29,49,21,7.25
spring wheat,markeronly_pc80__biased,46.0,16,52,37,28,48,21,5.5
spring wheat,markeronly_pc80__inflated,51.0,21,52,32,33,52,20,4.0
spring wheat,markeronly_pc80__noise,43.0,13,52,40,36,51,16,2.75
spring wheat,markeronly_pc80__shrunk,31.5,2,52,51,3,50,48,8.75
spring wheat,markeronly_pc80__shuffled,42.0,12,52,41,34,52,19,6.5
spring wheat,mlp,4.0,1,34,34,1,18,18,4.75
spring wheat,mlp__biased,33.5,4,52,49,1,37,37,28.75
spring wheat,mlp__inflated,49.0,19,52,34,2,50,49,28.5
spring wheat,mlp__noise,30.0,1,52,52,20,35,16,2.5
spring wheat,mlp__shrunk,20.5,1,50,50,3,51,49,9.0
spring wheat,mlp__shuffled,23.0,1,52,52,19,43,25,5.5
spring wheat,rf,6.0,1,36,36,1,42,42,12.75
spring wheat,rf__biased,40.0,10,52,43,6,43,38,19.75
spring wheat,rf__inflated,48.0,18,52,35,11,49,39,8.75
spring wheat,rf__noise,33.0,3,52,50,27,51,25,8.0
spring wheat,rf__shrunk,21.0,1,51,51,1,49,49,5.5
spring wheat,rf__shuffled,22.0,1,52,52,16,47,32,19.75
spring wheat,ridge_pc20_hi,7.5,1,38,38,7,30,24,15.0
spring wheat,ridge_pc20_lo,8.5,1,38,38,8,28,21,15.0
spring wheat,ridge_pc40_hi,5.0,1,35,35,4,17,14,4.75
spring wheat,ridge_pc40_lo,6.0,1,36,36,1,14,14,6.0
spring wheat,ridge_pc40_lo__biased,37.0,7,52,46,2,39,38,23.0
