Team Name,RMSE,MAE,normalized_RMSE,relative_RMSE,normalized_MAE,realative_MAE,r2_score,pearson_r,r2_pearson,spearman_r,lineRegressSlope,mean_RMSE,mean_MAE,mean_normalized_RMSE,mean_relative_RMSE,mean_normalized_MAE,mean_realative_MAE,mean_r2_score,mean_pearson_r,mean_r2_pearson,mean_spearman_r,mean_lineRegressSlope
AIBreeding,14,10,14,14,10,10,14,15,15,16,15,10,10,10,13,10,13,12,10,9,12,9
AIMaize,24,25,24,24,25,25,24,27,27,29,30,24,24,24,24,24,24,24,28,27,26,30
AgroStat,9,11,9,9,11,11,9,11,11,7,12,11,11,12,10,12,10,11,21,21,23,23
AllModelsAreWrong,13,15,13,13,15,15,13,9,9,9,20,15,15,15,14,15,14,13,4,6,5,21
BioSense,19,20,19,19,20,20,19,20,20,15,10,20,19,20,20,20,20,20,19,17,21,13
CGM,4,4,4,4,4,4,4,7,7,6,3,4,4,4,4,4,4,5,2,2,2,2
CLAC,1,1,1,1,1,1,1,2,2,2,7,1,1,1,1,1,1,1,1,1,1,3
CropEnthusiast,17,18,17,17,18,18,17,16,16,18,19,17,17,16,16,16,16,16,20,22,24,18
CropsAreCool,15,13,15,15,13,13,15,19,19,23,13,14,13,14,17,14,17,15,15,16,20,8
DataJanitors,12,14,12,12,14,14,12,1,1,4,16,13,14,9,8,9,9,9,5,7,4,20
DeepCropVision,16,17,16,16,17,17,16,23,23,22,18,18,18,21,22,21,22,21,30,19,30,28
EnBiSys,27,24,27,27,24,24,27,25,25,25,25,25,25,28,29,28,29,29,11,11,18,11
G2P,22,23,22,22,23,23,22,14,14,21,14,22,22,22,15,22,15,23,26,29,22,27
Genetwister,25,26,25,25,26,26,25,26,26,27,27,26,26,26,26,26,26,27,23,25,25,26
Kernel of Truth,20,21,20,20,21,21,20,17,17,14,22,21,21,18,19,18,19,17,29,30,29,29
ML_APT,8,8,8,8,8,8,8,10,10,11,11,8,8,7,7,8,7,8,14,15,15,16
MPB_Group,11,9,11,11,9,9,11,13,13,13,2,9,9,13,11,13,11,14,6,4,9,4
Niche Squad,28,27,28,28,27,27,28,30,30,30,29,28,28,29,28,29,28,28,22,23,19,22
Purdue,3,6,3,3,6,6,3,3,3,3,6,5,6,3,3,3,3,3,16,12,14,19
SmAL,6,5,6,6,5,5,6,8,8,8,8,6,7,6,6,6,6,6,18,20,13,15
TinyAfrica,30,30,30,30,30,30,30,29,29,26,1,30,30,30,30,30,30,30,25,24,17,1
UCD_MegaLMM,5,2,5,5,2,2,5,5,5,5,9,3,3,5,5,5,5,4,3,3,3,7
agAdaptAR,18,16,18,18,16,16,18,22,22,20,21,16,16,17,18,17,18,18,17,18,16,17
arulrich,10,12,10,10,12,12,10,12,12,12,17,12,12,11,12,11,12,10,13,13,10,12
cropmodel,23,22,23,23,22,22,23,24,24,24,24,23,23,23,23,23,23,22,27,28,27,25
gartybois,26,28,26,26,28,28,26,18,18,17,23,27,27,25,25,25,25,25,12,14,11,14
igorkf,7,7,7,7,7,7,7,6,6,10,4,7,5,8,9,7,8,7,9,10,8,6
phenomaize,2,3,2,2,3,3,2,4,4,1,5,2,2,2,2,2,2,2,8,5,6,5
supermanwasd,21,19,21,21,19,19,21,21,21,19,26,19,20,19,21,19,21,19,7,8,7,10
uwaBioinfo,29,29,29,29,29,29,29,28,28,28,28,29,29,27,27,27,27,26,24,26,28,24
