Env,k,y,p,method
PH_LosB_2019D,1201260,6.387,6.378000321736431,ridge_pc5_lo
PH_LosB_2019D,1253957,5.7422,6.519554215805922,ridge_pc5_lo
PH_LosB_2019D,1253961,7.1739,6.482986705264088,ridge_pc5_lo
PH_LosB_2019D,1384968,6.3115,6.461690720132129,ridge_pc5_lo
PH_LosB_2019D,1401800,7.387,6.621685293617992,ridge_pc5_lo
PH_LosB_2019D,1960929,6.7268,6.3947728761769955,ridge_pc5_lo
PH_LosB_2019D,2337754,6.3978,6.615777870916146,ridge_pc5_lo
PH_LosB_2019D,2433533,7.1841,6.553009273138313,ridge_pc5_lo
PH_LosB_2019D,2451001,7.0637,6.525512646094236,ridge_pc5_lo
PH_LosB_2019D,2472106,6.8899,6.451820347653821,ridge_pc5_lo
PH_LosB_2019D,2642849,5.7095,6.424322388724127,ridge_pc5_lo
PH_LosB_2019D,2696701,6.3885,6.558735181416735,ridge_pc5_lo
PH_LosB_2019D,2697231,6.2095,6.600066623635528,ridge_pc5_lo
PH_LosB_2019D,2697338,6.3737,6.492548034346905,ridge_pc5_lo
PH_LosB_2019D,2697419,6.9707,6.404135473539748,ridge_pc5_lo
PH_LosB_2019D,2697451,6.4649,6.604988784109124,ridge_pc5_lo
PH_LosB_2019D,2697797,6.8556,6.425288514926079,ridge_pc5_lo
PH_LosB_2019D,2858722,6.5242,6.521458902101029,ridge_pc5_lo
PH_LosB_2019D,2971736,6.3489,6.499804737348094,ridge_pc5_lo
PH_LosB_2019D,2972293,7.1507,6.366049546365345,ridge_pc5_lo
PH_LosB_2019D,2972309,6.4501,6.515562687489278,ridge_pc5_lo
PH_LosB_2019D,2972722,6.4873,6.455441825409978,ridge_pc5_lo
PH_LosB_2019D,2972796,6.5287,6.420984786882339,ridge_pc5_lo
PH_LosB_2019D,300034581,7.297,6.4255124903765175,ridge_pc5_lo
PH_LosB_2019D,300035917,7.1935,6.333882502208254,ridge_pc5_lo
PH_LosB_2019D,300038124,7.4091,6.455325276644558,ridge_pc5_lo
PH_LosB_2019D,300038265,5.8319,6.540506164489918,ridge_pc5_lo
PH_LosB_2019D,300038266,6.8187,6.465652307963558,ridge_pc5_lo
PH_LosB_2019D,300038744,6.8945,6.3451558829005075,ridge_pc5_lo
PH_LosB_2019D,300038775,7.3357,6.357393306672737,ridge_pc5_lo
PH_LosB_2019D,300039577,6.1623,6.364274255833395,ridge_pc5_lo
PH_LosB_2019D,300040799,6.3847,6.4081907975306045,ridge_pc5_lo
PH_LosB_2019D,300041295,6.6852,6.467544062809746,ridge_pc5_lo
PH_LosB_2019D,300041329,5.957,6.5049662694710335,ridge_pc5_lo
PH_LosB_2019D,300080502,6.8029,6.515209746950648,ridge_pc5_lo
PH_LosB_2019D,300080634,5.8761,6.487887228002542,ridge_pc5_lo
PH_LosB_2019D,300166640,5.9773,6.443064561793012,ridge_pc5_lo
PH_LosB_2019D,300166641,6.3984,6.428695930040943,ridge_pc5_lo
PH_LosB_2019D,300170400,6.9837,6.580542921145682,ridge_pc5_lo
PH_LosB_2019D,300172737,6.5058,6.520687870409412,ridge_pc5_lo
PH_LosB_2019D,300173154,6.96,6.509290553303418,ridge_pc5_lo
PH_LosB_2019D,300174086,7.5568,6.415984437186132,ridge_pc5_lo
PH_LosB_2019D,300174380,6.5449,6.453044154914915,ridge_pc5_lo
PH_LosB_2019D,300233098,5.2733,6.455506893072775,ridge_pc5_lo
PH_LosB_2019D,300233776,7.1368,6.509018422511557,ridge_pc5_lo
PH_LosB_2019D,300252036,6.0444,6.456408454153733,ridge_pc5_lo
PH_LosB_2019D,300258387,6.1577,6.522008042678054,ridge_pc5_lo
PH_LosB_2019D,300266828,6.5582,6.334900638408135,ridge_pc5_lo
PH_LosB_2019D,300266831,6.3761,6.495309537590459,ridge_pc5_lo
PH_LosB_2019D,300266832,6.5502,6.4867725851713445,ridge_pc5_lo
PH_LosB_2019D,300266835,5.6318,6.508321609684712,ridge_pc5_lo
PH_LosB_2019D,300266839,6.9812,6.595324545648267,ridge_pc5_lo
PH_LosB_2019D,300266846,6.092,6.420081608607404,ridge_pc5_lo
PH_LosB_2019D,300266848,6.5604,6.295261590852559,ridge_pc5_lo
PH_LosB_2019D,300279864,6.3203,6.547739590792586,ridge_pc5_lo
PH_LosB_2019D,300279868,6.872,6.36969081313975,ridge_pc5_lo
PH_LosB_2019D,300287234,6.294,6.3901893578404785,ridge_pc5_lo
PH_LosB_2019D,300293456,6.2421,6.487008889897924,ridge_pc5_lo
PH_LosB_2019D,300293539,6.06,6.383471268212985,ridge_pc5_lo
PH_LosB_2019D,300293562,6.0842,6.421363178882407,ridge_pc5_lo
PH_LosB_2019D,300294018,6.1526,6.3753027829638,ridge_pc5_lo
PH_LosB_2019D,300294074,6.6386,6.452188069432629,ridge_pc5_lo
PH_LosB_2019D,300294080,7.9366,6.3811949707051285,ridge_pc5_lo
PH_LosB_2019D,300296708,6.1439,6.482499852778969,ridge_pc5_lo
PH_LosB_2019D,300431704,6.4749,6.447101780200896,ridge_pc5_lo
PH_LosB_2019D,300764175,5.9393,6.423712807916737,ridge_pc5_lo
PH_LosB_2019D,300764179,4.9079,6.493626890256142,ridge_pc5_lo
PH_LosB_2019D,300764184,5.8655,6.552162708962251,ridge_pc5_lo
PH_LosB_2019D,3022947,7.1661,6.448231034988772,ridge_pc5_lo
PH_LosB_2019D,3173051,5.7908,6.500209448046418,ridge_pc5_lo
PH_LosB_2019D,3272808,6.8615,6.386053176450186,ridge_pc5_lo
PH_LosB_2019D,3423716,6.5345,6.393123732564884,ridge_pc5_lo
PH_LosB_2019D,3425601,6.2428,6.450822006156234,ridge_pc5_lo
PH_LosB_2019D,3425772,6.7704,6.507848674587944,ridge_pc5_lo
PH_LosB_2019D,3425923,7.3721,6.467450028203695,ridge_pc5_lo
PH_LosB_2019D,3426973,5.3215,6.250725302729817,ridge_pc5_lo
PH_LosB_2019D,3427347,5.3662,6.449043295157557,ridge_pc5_lo
PH_LosB_2019D,3523215,5.8554,6.380272501730769,ridge_pc5_lo
PH_LosB_2019D,3592078,5.4733,6.494001186452248,ridge_pc5_lo
PH_LosB_2019D,3592657,6.9261,6.526602778106949,ridge_pc5_lo
PH_LosB_2019D,3593039,6.7829,6.575001084821094,ridge_pc5_lo
PH_LosB_2019D,3658769,6.5283,6.463088506164846,ridge_pc5_lo
PH_LosB_2019D,3806774,6.6024,6.632165155891997,ridge_pc5_lo
PH_LosB_2019D,3806855,6.1428,6.384724599884606,ridge_pc5_lo
PH_LosB_2019D,4016512,5.9245,6.374128974475456,ridge_pc5_lo
PH_LosB_2019D,4016513,5.3275,6.560771037202537,ridge_pc5_lo
PH_LosB_2019D,4189053,6.3808,6.463088506164846,ridge_pc5_lo
PH_LosB_2019D,4193103,6.6353,6.4891817746534635,ridge_pc5_lo
PH_LosB_2019D,4214820,6.3554,6.468559002924093,ridge_pc5_lo
PH_LosB_2019D,4220423,4.7167,6.545055099156184,ridge_pc5_lo
PH_LosB_2019D,4226523,5.4398,6.597318007637042,ridge_pc5_lo
PH_LosB_2019D,4228927,7.2075,6.369534339023292,ridge_pc5_lo
PH_LosB_2019D,4228929,6.4698,6.462735450411807,ridge_pc5_lo
PH_LosB_2019D,4229118,6.4494,6.410876213486199,ridge_pc5_lo
PH_LosB_2019D,4229178,6.5701,6.350663809908982,ridge_pc5_lo
PH_LosB_2019D,4535979,6.1602,6.522316024937886,ridge_pc5_lo
PH_LosB_2019D,4609623,6.1244,6.439544855421374,ridge_pc5_lo
PH_LosB_2019D,4609631,6.578,6.446944352636038,ridge_pc5_lo
PH_LosB_2019D,4789033,7.3996,6.6274770806289665,ridge_pc5_lo
PH_LosB_2019D,4789041,6.8947,6.617240187279716,ridge_pc5_lo
PH_LosB_2019D,4789051,7.5286,6.593635552921848,ridge_pc5_lo
PH_LosB_2019D,4789056,6.7151,6.646488737928157,ridge_pc5_lo
PH_LosB_2019D,4789719,6.5469,6.648221072087056,ridge_pc5_lo
PH_LosB_2019D,4789765,7.2742,6.595304446027936,ridge_pc5_lo
