f,n_per_env,n_env,dr_star,nan_frac
0.05,25,10,0.3323349716902972,0.0
0.05,25,20,0.22990338371040642,0.0
0.05,25,50,0.14181387441303264,0.0
0.05,25,100,0.0928585029507393,0.0
0.05,25,200,0.06853049416485701,0.0
0.05,50,10,0.20303434438847606,0.0
0.05,50,20,0.14669728489764744,0.0
0.05,50,50,0.09079691260015493,0.0
0.05,50,100,0.06222985440905696,0.0
0.05,50,200,0.04404248864835857,0.0
0.05,100,10,0.12164012784720928,0.0
0.05,100,20,0.08946485067651004,0.0
0.05,100,50,0.05797977675570334,0.0
0.05,100,100,0.03839415892174542,0.0
0.05,100,200,0.028375707217955206,0.0
0.05,400,10,0.061430401952091394,0.0
0.05,400,20,0.043954121567619506,0.0
0.05,400,50,0.02619859348859409,0.0
0.05,400,100,0.01928525306705494,0.0
0.05,400,200,0.013051309005812266,0.0
0.1,25,10,0.22819427130985076,0.0
0.1,25,20,0.14532106751180446,0.0
0.1,25,50,0.0977556825414255,0.0
0.1,25,100,0.06895265769544319,0.0
0.1,25,200,0.04869416875889328,0.0
0.1,50,10,0.13163149145440986,0.0
0.1,50,20,0.09552966517003679,0.0
0.1,50,50,0.058263054462059226,0.0
0.1,50,100,0.04001193933937229,0.0
0.1,50,200,0.029110317325722092,0.0
0.1,100,10,0.09199869000021152,0.0
0.1,100,20,0.06208167043371146,0.0
0.1,100,50,0.041072303148336854,0.0
0.1,100,100,0.02757932729439004,0.0
0.1,100,200,0.02020031636294706,0.0
0.1,400,10,0.04484808035284152,0.0
0.1,400,20,0.028847356950915667,0.0
0.1,400,50,0.01993426977266547,0.0
0.1,400,100,0.0132461079683805,0.0
0.1,400,200,0.009445442799468675,0.0
0.2,25,10,0.15507265998347136,0.0
0.2,25,20,0.10295300728096674,0.0
0.2,25,50,0.05903818365236629,0.0
0.2,25,100,0.04210577491779386,0.0
0.2,25,200,0.02933399668816986,0.0
0.2,50,10,0.0937886078877999,0.0
0.2,50,20,0.06646105555143259,0.0
0.2,50,50,0.04248685083825767,0.0
0.2,50,100,0.03024505657758708,0.0
0.2,50,200,0.022221379717206075,0.0
0.2,100,10,0.0684518508787019,0.0
0.2,100,20,0.04724483657388389,0.0
0.2,100,50,0.03157785211939057,0.0
0.2,100,100,0.021344455056173252,0.0
0.2,100,200,0.013818691198653811,0.0
0.2,400,10,0.033498038067127624,0.0
0.2,400,20,0.022356402164865823,0.0
0.2,400,50,0.01300805195554145,0.0
0.2,400,100,0.009274477700478626,0.0
0.2,400,200,0.006508794190121474,0.0
