dataset,methods,frac,n_methods,n_env,n_pairs,beta,threshold,isotonic,p_agree_below_001,n_below_001,ci_lo,ci_hi,boot_unbounded,boot_failed,oos,overlap_below_001,n_overlap_pairs
common bean,parent methods,0.05,17,10,133,6.7491763151212785e-06,inf,,0.6111111111111112,36,,,,,,,
common bean,parent methods,0.1,17,10,133,44.46444693094069,0.0662200742930538,0.06291661795293726,0.5,36,0.024127841808675554,inf,0.488,0.0,0.1257060271071336,0.6445686071930414,39.0
common bean,parent methods,0.2,17,10,132,80.29176042528093,0.03667174518992542,0.021664781289702707,0.6,35,,,,,,,
common bean,all methods,0.05,52,10,1278,15.24538687274965,0.19313638963334373,0.14170354767165713,0.6,220,,,,,,,
common bean,all methods,0.1,52,10,1278,52.53564344671963,0.05604650073721127,0.06120419305714579,0.5545454545454546,220,0.03065932504817422,0.2013408834604338,0.0,0.0,0.13362904438031023,0.5633330111599893,226.0
common bean,all methods,0.2,52,10,1277,64.40885339789304,0.045714817510829335,0.06291661795293726,0.6073059360730594,219,,,,,,,
spring wheat,parent methods,0.05,17,109,133,14.1856568000836,0.2075645153877604,0.18138022293537373,0.75,8,,,,,,,
spring wheat,parent methods,0.1,17,109,132,13.817498651998978,0.21309493514880626,0.15666351185087166,0.42857142857142855,7,0.05622469422014076,inf,0.12,0.0,0.2527217714091406,0.7224075618571032,11.0
spring wheat,parent methods,0.2,17,109,133,25.377436025177722,0.1160258655068689,0.1300268539606071,0.5,8,,,,,,,
spring wheat,all methods,0.05,52,109,1281,14.689491131355666,0.200445267493395,0.17993481046635018,0.5543478260869565,92,,,,,,,
spring wheat,all methods,0.1,52,109,1277,14.173582166302202,0.20774134192885027,0.1664747167268373,0.4431818181818182,88,0.08111174080006597,inf,0.108,0.0,0.2906208907357667,0.4039594398841139,95.0
spring wheat,all methods,0.2,52,109,1278,22.584017139296872,0.13037711408937197,0.12979582055342898,0.4943820224719101,89,,,,,,,
soybean,parent methods,0.05,26,184,321,6.097801881236889,inf,0.17979514334650043,0.631578947368421,57,,,,,,,
soybean,parent methods,0.1,26,184,324,25.328071030506944,0.11625200259506328,0.12830529099353474,0.6666666666666666,60,0.0376610164336044,inf,0.24,0.0,0.1787206976262504,0.757790060203405,60.0
soybean,parent methods,0.2,26,184,324,70.73040931442614,0.041629039160188966,0.03296056116320064,0.7,60,,,,,,,
soybean,all methods,0.05,66,184,2090,13.179203865137094,0.22341554234207997,0.17553259989470363,0.5747126436781609,174,,,,,,,
soybean,all methods,0.1,66,184,2096,31.424704563755803,0.09369822310318415,0.0815064130988849,0.6555555555555556,180,0.03769204746160366,0.22279279854842754,0.008,0.0,0.12763735948341695,0.6039754858716506,180.0
soybean,all methods,0.2,66,184,2096,60.2251740610728,0.04889050177224163,0.032496997139452526,0.6888888888888889,180,,,,,,,
