A,B,dr,dg,overlap,n_env,agree
EnBiSys_sub243568,KernelOfTruth_sub244906,0.07597015714601549,-0.08160528542280578,0.2425935241215978,23,False
EnBiSys_sub243568,KernelOfTruth_sub244944,0.12032683179407809,0.1412107143569708,0.26256938548805436,23,True
EnBiSys_sub243568,KernelOfTruth_sub244953,0.08774929845192982,-0.0455885157091623,0.1871044228913743,23,False
EnBiSys_sub243568,NicheSquad_sub244985,0.09444392809660569,0.04009973748231724,0.2801435681895548,21,True
KernelOfTruth_sub244906,KernelOfTruth_sub244944,0.044356674648062595,0.2228159997797766,0.3688662161818795,23,True
KernelOfTruth_sub244906,KernelOfTruth_sub244953,0.011779141305914335,0.03601676971364351,0.3694664695078731,23,True
KernelOfTruth_sub244906,NicheSquad_sub244985,0.016302833238274153,0.12269682470016109,0.23662147231168126,21,True
KernelOfTruth_sub244944,KernelOfTruth_sub244953,0.03257753334214826,0.18679923006613305,0.42893688600563373,23,True
KernelOfTruth_sub244944,NicheSquad_sub244985,0.019909122772206918,0.08673857163182194,0.3468488988932425,21,True
KernelOfTruth_sub244953,NicheSquad_sub244985,0.0034321523936567838,0.07285062725547778,0.2397921130731373,21,True
