dataset,dr,dg
common bean,0.02863113066632191,0.05564920261951606
common bean,0.013771635995770293,-0.07774390216884201
common bean,0.03187227530547578,0.01688424267510568
common bean,0.037038632045234055,0.19904121850873907
common bean,0.050295911956024605,0.15632588362474706
common bean,0.049144981957166975,0.1572324309984603
common bean,0.043118452117678605,0.023638268676762848
common bean,0.02471622528021325,0.06517575391191267
common bean,0.031728844698048334,0.02290246983925091
common bean,0.03173737711773003,0.02290246983925091
common bean,0.0357038025677075,0.09389323699736904
common bean,0.03574406988773244,0.09389323699736897
common bean,0.06935392537284206,0.14439010166220584
common bean,0.0693529422396858,0.14439010166220584
common bean,0.05184668328641784,0.11342563940517594
common bean,0.05211117512379264,0.11315857378954597
common bean,0.0424027666620922,-0.02209469954932597
common bean,0.0032411446391538757,-0.03876495994441038
common bean,0.00840750137891214,0.143392015889223
common bean,0.021664781289702707,0.10067668100523101
common bean,0.02051385129084507,0.10158322837894425
common bean,0.0144873214513567,-0.032010933942753214
common bean,0.003914905386108658,-0.009526551292396618
common bean,0.0030977140317264285,-0.032746732780265145
common bean,0.0031062464514081236,-0.032746732780265145
common bean,0.007072671901385591,0.038244034377852974
common bean,0.0071129392214105275,0.03824403437785291
common bean,0.040722794706520155,0.08874089904268977
common bean,0.040721811573363895,0.08874089904268977
common bean,0.023215552620095926,0.05777643678565989
common bean,0.023480044457470737,0.057509371170029897
common bean,0.04564391130124608,-0.060859659493736354
common bean,0.05081026804100434,0.12129731633989704
common bean,0.06406754795179491,0.07858198145590505
common bean,0.06291661795293726,0.07948852882961828
common bean,0.0568900881134489,-0.054105633492079176
common bean,0.03848786127598354,-0.01256814825692935
common bean,0.04550048069381863,-0.054841432329591114
common bean,0.04550901311350032,-0.054841432329591114
common bean,0.04947543856347779,0.016149334828527005
common bean,0.04951570588350272,0.01614933482852694
common bean,0.08312556136861235,0.06664619949336378
common bean,0.08312457823545609,0.06664619949336378
common bean,0.06561831928218813,0.03568173723633393
common bean,0.06588281111956294,0.035414671620703934
common bean,0.0051663567397582655,0.18215697583363338
common bean,0.018423636650548834,0.13944164094964137
common bean,0.017272706651691193,0.14034818832335463
common bean,0.011246176812202824,0.0067540260016571655
common bean,0.007156050025262534,-0.04829151123680699
common bean,0.00014343060742744718,-0.006018227164145229
common bean,0.00013489818774575224,-0.006018227164145229
common bean,0.0038315272622317154,0.07700899432226335
common bean,0.0038717945822566518,0.0770089943222633
common bean,0.03748165006736628,0.12750585898710015
common bean,0.037480666934210025,0.12750585898710015
common bean,0.019974407980942053,0.09654139673007027
common bean,0.02023889981831686,0.09627433111444028
common bean,0.013257279910790568,-0.042715334883992
common bean,0.012106349911932929,-0.041808787510278764
common bean,0.006079820072444559,-0.1754029498319762
common bean,0.0123224067650208,0.13386546459682638
common bean,0.005309787347185712,0.17613874866948814
common bean,0.005301254927504018,0.17613874866948814
common bean,0.00133482947752655,0.10514798151137003
common bean,0.0012945621575016137,0.1051479815113701
common bean,0.03231529332760802,-0.054651116846533246
common bean,0.03231431019445176,-0.054651116846533246
common bean,0.014808051241183787,-0.08561557910356313
common bean,0.015072543078558594,-0.08588264471919312
common bean,0.0011509299988576387,-0.0009065473737132401
common bean,0.0071774598383460095,0.13268761494798423
common bean,0.025579686675811363,0.0911501297128344
common bean,0.01856706725797628,0.13342341378549616
common bean,0.018558534838294585,0.13342341378549616
common bean,0.014592109388317117,0.06243264662737803
common bean,0.014551842068292182,0.062432646627378095
common bean,0.019058013416817447,-0.01193578196254124
common bean,0.019057030283661187,-0.01193578196254124
common bean,0.0015507713303932191,-0.042900244219571115
common bean,0.0018152631677680275,-0.043167309835201104
common bean,0.00602652983948837,0.13359416232169746
common bean,0.02442875667695373,0.09205667708654763
common bean,0.01741613725911864,0.1343299611592094
common bean,0.017407604839436947,0.1343299611592094
common bean,0.01344117938945948,0.06333919400109127
common bean,0.013400912069434542,0.06333919400109134
common bean,0.020208943415675085,-0.012842329336254482
common bean,0.020207960282518825,-0.012842329336254482
common bean,0.002701701329250858,-0.04380679159328436
common bean,0.002966193166625666,-0.044073857208914345
common bean,0.018402226837465358,-0.04153748523514983
common bean,0.011389607419630271,0.0007357988375119362
common bean,0.011381074999948577,0.0007357988375119362
common bean,0.007414649549971108,-0.07025496832060618
common bean,0.007374382229946172,-0.07025496832060611
common bean,0.026235473255163455,0.12075183298544298
common bean,0.026234490122007192,0.12075183298544298
common bean,0.008728231168739229,0.0897873707284131
common bean,0.008992723006114037,0.08952030511278312
common bean,0.007012619417835086,-0.04227328407266177
common bean,0.007021151837516781,-0.04227328407266177
common bean,0.010987577287494249,0.02871748308545636
common bean,0.011027844607519186,0.02871748308545629
common bean,0.04463770009262881,0.07921434775029315
common bean,0.04463671695947255,0.07921434775029315
common bean,0.02713045800620458,0.04824988549326327
common bean,0.027394949843579396,0.047982819877633295
common bean,0.003974957869659163,0.07099076715811811
common bean,0.004015225189684099,0.07099076715811806
common bean,0.037625080674793726,0.12148763182295493
common bean,0.037624097541637466,0.12148763182295493
common bean,0.020117838588369498,0.09052316956592503
common bean,0.02038233042574431,0.09025610395029507
common bean,0.003966425449977468,0.07099076715811811
common bean,0.004006692770002404,0.07099076715811806
common bean,0.03761654825511203,0.12148763182295493
common bean,0.037615565121955775,0.12148763182295493
common bean,0.020109306168687804,0.09052316956592503
common bean,0.020373798006062614,0.09025610395029507
common bean,0.03365012280513456,0.05049686466483679
common bean,0.03364913967197831,0.05049686466483679
common bean,0.016142880718710336,0.01953240240780692
common bean,0.016407372556085147,0.01926533679217693
common bean,0.03360985548510963,0.05049686466483686
common bean,0.03360887235195337,0.05049686466483686
common bean,0.0161026133986854,0.019532402407806987
common bean,0.01636710523606021,0.019265336792176995
common bean,0.017507242086424228,0.030964462257029875
common bean,0.017242750249049418,0.031231527872659863
common bean,0.01750625895326797,0.030964462257029875
common bean,0.017241767115893158,0.031231527872659863
common bean,0.00026449183737480844,-0.0002670656156299911
spring wheat,0.11367344747670319,0.018271418403938318
spring wheat,0.1078786956628331,-0.08351868894858673
spring wheat,0.0045476578526382596,-0.13024177448323943
spring wheat,0.13807590284844917,0.07078609756141166
spring wheat,0.3501234452753961,1.07162789475009
spring wheat,0.14131187064899395,-0.04728015499446014
spring wheat,0.12419695731016916,0.10607686286289436
spring wheat,0.16874322234002234,0.1880964676014203
spring wheat,0.12195709450944489,-0.005308199870601298
spring wheat,0.1216279797048097,-0.005308199870601298
spring wheat,0.00839887425579737,0.04666834103243229
spring wheat,0.008880978448016247,0.04666834103243229
spring wheat,0.2787497607351493,0.2910651582925657
spring wheat,0.2786206063603165,0.2910651582925657
spring wheat,0.05447865087073825,-0.07628385500498279
spring wheat,0.05390065777811884,-0.07628385500498279
spring wheat,0.005794751813870107,0.10179010735252503
spring wheat,0.10912578962406497,0.1485131928871777
spring wheat,0.024402455371745974,0.052514679157473314
spring wheat,0.23644999779869288,1.0533564763461516
spring wheat,0.027638423172290767,-0.06555157339839848
spring wheat,0.23787040478687238,0.1243482812668327
spring wheat,0.055069774863319175,0.169825049197482
spring wheat,0.008283647032741717,-0.02357961827453961
spring wheat,0.007954532228106513,-0.02357961827453961
spring wheat,0.12207232173250057,0.0649397594363706
spring wheat,0.12255442592471948,0.0649397594363706
spring wheat,0.16507631325844604,0.2727937398886274
spring wheat,0.1649471588836134,0.2727937398886274
spring wheat,0.059194796605964946,0.09455527340892111
spring wheat,0.05977278969858435,0.09455527340892111
spring wheat,0.10333103781019487,0.046723085534652695
spring wheat,0.03019720718561608,0.15430478650999835
spring wheat,0.24224474961256307,1.1551465836986767
spring wheat,0.03343317498616088,0.036238533954126524
spring wheat,0.23207565297300226,0.02255817391430767
spring wheat,0.06086452667718929,0.271615156550007
spring wheat,0.014078398846611821,0.07821048907798539
spring wheat,0.013749284041976615,0.07821048907798539
spring wheat,0.11627756991863046,-0.03685034791615441
spring wheat,0.11675967411084934,-0.03685034791615441
spring wheat,0.17087106507231622,0.3745838472411525
spring wheat,0.17074191069748348,0.3745838472411525
spring wheat,0.053400044792094835,-0.007234833943603898
spring wheat,0.05397803788471426,-0.007234833943603898
spring wheat,0.1335282449958109,0.20102787204465103
spring wheat,0.3455757874227579,1.2018696692333295
spring wheat,0.1367642127963557,0.08296161948877925
spring wheat,0.12874461516280747,-0.024164911620345036
spring wheat,0.16419556448738415,0.3183382420846597
spring wheat,0.11740943665680664,0.1249335746126381
spring wheat,0.1170803218521715,0.1249335746126381
spring wheat,0.01294653210843562,-0.08357343345080712
spring wheat,0.013428636300654509,-0.08357343345080712
spring wheat,0.274202102882511,0.4213069327758051
spring wheat,0.27407294850767827,0.4213069327758051
spring wheat,0.04993099301809999,0.053957919478256615
spring wheat,0.04935299992548059,0.053957919478256615
spring wheat,0.21204754242694696,1.0008417971886785
spring wheat,0.003235967800544797,-0.11806625255587182
spring wheat,0.26227286015861834,0.17686296042430602
spring wheat,0.0306673194915732,0.11731037004000865
spring wheat,0.016118808339004257,0.07609429743201293
spring wheat,0.01644792314363946,0.07609429743201293
spring wheat,0.14647477710424656,0.11745443859384393
spring wheat,0.14695688129646542,0.11745443859384393
spring wheat,0.14067385788670012,0.2202790607311541
spring wheat,0.14054470351186737,0.2202790607311541
spring wheat,0.08359725197771092,0.14706995256639444
spring wheat,0.08417524507033035,0.14706995256639444
spring wheat,0.2088115746264022,1.11890804974455
spring wheat,0.47432040258556535,1.1777047576129842
spring wheat,0.18138022293537373,0.8835314271486698
spring wheat,0.22816635076595118,1.0769360946206914
spring wheat,0.22849546557058645,1.0769360946206914
spring wheat,0.3585223195311935,1.1182962357825221
spring wheat,0.35900442372341235,1.1182962357825221
spring wheat,0.07137368454024683,0.7805627364575242
spring wheat,0.07150283891507958,0.7805627364575242
spring wheat,0.2956447944046579,1.1479117497550726
spring wheat,0.29622278749727726,1.1479117497550726
spring wheat,0.26550882795916314,0.0587967078684342
spring wheat,0.027431351691028394,0.2353766225958805
spring wheat,0.01935477613954906,-0.04197195512385888
spring wheat,0.019683890944184258,-0.04197195512385888
spring wheat,0.14971074490479136,-0.0006118139620278787
spring wheat,0.15019284909701017,-0.0006118139620278787
spring wheat,0.1374378900861553,0.3383453132870258
spring wheat,0.1373087357113226,0.3383453132870258
spring wheat,0.08683321977825573,0.029003700010522635
spring wheat,0.08741121287087514,0.029003700010522635
spring wheat,0.29294017965019153,0.29417333046431465
spring wheat,0.24615405181961408,0.10076866299229306
spring wheat,0.2458249370149789,0.10076866299229306
spring wheat,0.11579808305437182,0.05940852183046209
spring wheat,0.11531597886215295,0.05940852183046209
spring wheat,0.40294671804531845,0.3971420211554601
spring wheat,0.4028175636704857,0.3971420211554601
spring wheat,0.17867560818090739,0.02979300785791158
spring wheat,0.17809761508828806,0.02979300785791158
spring wheat,0.04678612783057746,0.19340466747202162
spring wheat,0.04711524263521267,0.19340466747202162
spring wheat,0.17714209659581975,0.23476480863385257
spring wheat,0.17762420078803862,0.23476480863385257
spring wheat,0.11000653839512693,0.10296869069114542
spring wheat,0.10987738402029416,0.10296869069114542
spring wheat,0.11426457146928413,0.26438032260640315
spring wheat,0.11484256456190353,0.26438032260640315
spring wheat,0.13035596876524227,0.04136014116183098
spring wheat,0.13083807295746117,0.04136014116183098
spring wheat,0.15679266622570437,0.296373358163167
spring wheat,0.15666351185087166,0.296373358163167
spring wheat,0.06747844363870666,0.0709756551343815
spring wheat,0.06805643673132607,0.0709756551343815
spring wheat,0.1300268539606071,0.04136014116183098
