dataset,dr,p_observed,p_gaussian
common bean,0.0,0.5,0.5
common bean,0.005,0.5553527520763809,0.584177459284908
common bean,0.01,0.6093651566563509,0.6637146910965946
common bean,0.015,0.6608236210990052,0.7349411717129335
common bean,0.02,0.7087434126656678,0.7957247334268547
common bean,0.025,0.7524293619071935,0.8454996123422942
common bean,0.03,0.7914905222722419,0.8849004070744091
common bean,0.035,0.8258154053364765,0.9152602414751961
common bean,0.04,0.855521173717792,0.9381715824916035
common bean,0.045,0.8808915515645795,0.9551915854961698
common bean,0.05,0.9023155887512163,0.9676877237711404
common bean,0.055,0.9202350235436365,0.9767836503897072
common bean,0.06,0.9351036996920762,0.9833630891879244
common bean,0.065,0.9473593102444432,0.9881006509780221
common bean,0.07,0.957405883350973,0.9915007947661334
common bean,0.075,0.9656046637902144,0.9939353378324985
common bean,0.08,0.9722709994403227,0.9956755631206102
common bean,0.085,0.9776751705070521,0.9969179876239695
common bean,0.09,0.9820455592859402,0.9978042467899735
common bean,0.095,0.9855730101164251,0.9984360543164232
common bean,0.1,0.98841560917681,0.9988862680326221
common bean,0.105,0.9907034043635523,0.9992069814715551
common bean,0.11,0.9925427928647557,0.9994353935539811
common bean,0.115,0.9940204436488587,0.9995980428705388
common bean,0.12,0.9952067109094007,0.9997138503097962
common bean,0.125,0.996158547452174,0.9997962993906538
common bean,0.13,0.9969219558259268,0.9998549956415527
common bean,0.135,0.9975340283061805,0.9998967803368571
common bean,0.14,0.9980246306654591,0.9999265251702043
common bean,0.145,0.9984177830380898,0.9999476988766415
common bean,0.15,0.9987327867191822,0.9999627710493482
common bean,0.155,0.9989851400431674,0.9999734998283539
common bean,0.16,0.9991872805263812,0.9999811368058028
common bean,0.165,0.9993491847633535,0.9999865729431137
common bean,0.17,0.9994788524034978,0.9999904424684228
common bean,0.17500000000000002,0.9995826960079369,0.9999931968480693
common bean,0.18,0.9996658547063675,0.9999951574484395
common bean,0.185,0.9997324463020358,0.9999965530253322
common bean,0.19,0.999785769746426,0.9999975464113426
common bean,0.195,0.9998284676532909,0.9999982535132526
common bean,0.2,0.9998626566741584,0.9999987568350839
common bean,0.20500000000000002,0.9998900320496237,0.9999991151042017
common bean,0.21,0.9999119514250713,0.9999993701233982
common bean,0.215,0.9999295020263147,0.9999995516483352
common bean,0.22,0.999943554487853,0.9999996808593868
common bean,0.225,0.9999548059788133,0.9999997728329454
common bean,0.23,0.9999638147499743,0.999999838300526
common bean,0.23500000000000001,0.99997102780559,0.9999998849009178
common bean,0.24,0.9999768030664045,0.9999999180714805
common bean,0.245,0.9999814271193566,0.9999999416825737
common bean,0.25,0.9999851294320432,0.9999999584891537
common bean,0.255,0.9999880937355707,0.9999999704522222
common bean,0.26,0.9999904671395669,0.9999999789676373
common bean,0.265,0.9999923674309787,0.9999999850289834
common bean,0.27,0.99999388891842,0.9999999893435015
common bean,0.275,0.9999951071118197,0.9999999924146127
common bean,0.28,0.9999960824694256,0.9999999946006559
common bean,0.28500000000000003,0.9999968633980072,0.9999999961567005
common bean,0.29,0.9999974886550741,0.9999999972643063
common bean,0.295,0.9999979892722874,0.9999999980527097
common bean,0.3,0.9999983900954866,0.9999999986139021
spring wheat,0.0,0.5,0.5
spring wheat,0.005,0.5172650065872857,0.555228705685392
spring wheat,0.01,0.5344888913172569,0.6091259827452862
spring wheat,0.015,0.5516309231784553,0.6604857701620519
spring wheat,0.02,0.568651144983526,0.7083284640104094
spring wheat,0.025,0.5855107408828853,0.7519611983423842
spring wheat,0.03,0.6021723813439734,0.7909926800982383
spring wheat,0.035,0.6186005392826207,0.8253090263387131
spring wheat,0.04,0.6347617719802666,0.8550237427467993
spring wheat,0.045,0.6506249645120518,0.8804163883552667
spring wheat,0.05,0.6661615315942057,0.9018719301439659
spring wheat,0.055,0.6813455759809574,0.9198284868646821
spring wheat,0.06,0.6961540027492658,0.9347369348264432
spring wheat,0.065,0.710566589956373,0.9470326951686155
spring wheat,0.07,0.7245660171998153,0.9571181708408135
spring wheat,0.075,0.7381378545199878,0.9653535318496649
spring wheat,0.08,0.7512705148390948,0.9720534898910693
spring wheat,0.085,0.7639551737144883,0.9774880196972876
spring wheat,0.09,0.7761856605954882,0.9818854348405819
spring wheat,0.095,0.7879583260154737,0.9854366712338256
spring wheat,0.1,0.7992718892369887,0.9883000078190446
spring wheat,0.105,0.8101272708137107,0.9906057426627382
spring wheat,0.11,0.8205274143599313,0.992460549357729
spring wheat,0.115,0.8304771015482353,0.9939513782211807
spring wheat,0.12,0.8399827640124412,0.9951488558994701
spring wheat,0.125,0.8490522954380112,0.996110190354476
spring wheat,0.13,0.8576948666968404,0.9968816174453733
spring wheat,0.135,0.8659207464460896,0.9975004390069807
spring wheat,0.14,0.8737411291772348,0.9979967064633064
spring wheat,0.145,0.8811679722845873,0.998394602638174
spring wheat,0.15,0.8882138433320366,0.9987135701463647
spring wheat,0.155,0.8948917783397409,0.9989692291963711
spring wheat,0.16,0.9012151515935132,0.9991741217786584
spring wheat,0.165,0.9071975572010365,0.9993383135929097
spring wheat,0.17,0.9128527023813321,0.9994698799572131
spring wheat,0.17500000000000002,0.9181943122761361,0.9995752974514689
spring wheat,0.18,0.9232360459119364,0.99965975919203
spring wheat,0.185,0.9279914228165335,0.9997274283789565
