team,frac,n_env,env_with_boundary_tie,gap_as_analysed,gap_best_case,gap_worst_case
KernelOfTruth_sub244906,0.05,23,0,-0.262669639831377,-0.262669639831377,-0.262669639831377
KernelOfTruth_sub244906,0.1,23,0,-0.094522308635891,-0.094522308635891,-0.094522308635891
KernelOfTruth_sub244906,0.2,23,3,-0.08730810486969927,-0.08577226811681693,-0.08832620235704516
KernelOfTruth_sub244944,0.05,23,0,-0.3554958543814952,-0.3554958543814952,-0.3554958543814952
KernelOfTruth_sub244944,0.1,23,1,-0.2395454179362586,-0.2395454179362586,-0.2406830861453651
KernelOfTruth_sub244944,0.2,23,0,-0.12469176119498841,-0.12469176119498845,-0.12469176119498852
KernelOfTruth_sub244953,0.05,23,0,-0.1405338150336034,-0.1405338150336034,-0.1405338150336034
KernelOfTruth_sub244953,0.1,23,0,-0.10988319306999102,-0.10988319306999102,-0.10988319306999102
KernelOfTruth_sub244953,0.2,23,1,-0.05383050405634116,-0.053451052349859106,-0.054627776257896096
EnBiSys_sub243568,0.05,23,0,-0.4789969706618237,-0.4789969706618237,-0.4789969706618237
EnBiSys_sub243568,0.1,23,0,-0.3094766603128367,-0.3094766603128367,-0.3094766603128367
EnBiSys_sub243568,0.2,23,0,-0.2675124671202559,-0.2675124671202559,-0.2675124671202559
NicheSquad_sub244985,0.05,21,0,-0.3026747379708318,-0.3026747379708318,-0.3026747379708318
NicheSquad_sub244985,0.1,21,1,-0.17177621751708147,-0.17177621751708141,-0.17534673670767215
NicheSquad_sub244985,0.2,21,0,-0.1099930363877922,-0.10999303638779216,-0.1099930363877922
