Env,Hybrid,Yield_Mg_ha
DEH1_2022,B14A/OH43,9.976789
DEH1_2022,B37/H95,9.896529
DEH1_2022,B73/MO17,11.124008
DEH1_2022,B73/PHN82,11.334112
DEH1_2022,B73/TX779,9.868725
DEH1_2022,B97/LH244,11.062058
DEH1_2022,BGEM-0039-N/LH244,10.496944
DEH1_2022,BGEM-0063-N/LH244,11.334608
DEH1_2022,BGEM-0089-N/LH244,10.632232
DEH1_2022,BGEM-0124-N/LH244,10.618629
DEH1_2022,BGEM-0129-N/LH244,8.141598
DEH1_2022,CG119/CG108,5.977673
DEH1_2022,CG44/CGR01,9.801653
DEH1_2022,DK3IIH6/LH244,11.976617
DEH1_2022,DK78010/LH244,11.293947
DEH1_2022,GEMN-0096/LH244,11.275209
DEH1_2022,GEMN-0096_LH212HT_0001/LH244,11.235643
DEH1_2022,GEMN-0096_LH212HT_0002/LH244,11.270958
DEH1_2022,GEMN-0096_LH212HT_0003/LH244,11.23559
DEH1_2022,GEMN-0096_LH212HT_0004/LH244,11.262964
DEH1_2022,GEMN-0096_LH212HT_0005/LH244,11.317987
DEH1_2022,GEMN-0096_LH212HT_0006/LH244,11.230791
DEH1_2022,GEMN-0096_LH212HT_0008/LH244,11.251975
DEH1_2022,GEMN-0096_LH212HT_0009/LH244,11.238964
DEH1_2022,GEMN-0096_LH212HT_0012/LH244,11.228416
DEH1_2022,GEMN-0096_LH212HT_0013/LH244,11.290449
DEH1_2022,GEMN-0096_LH212HT_0017/LH244,11.294024
DEH1_2022,GEMN-0096_LH212HT_0020/LH244,11.26424
DEH1_2022,GEMN-0096_LH212HT_0021/LH244,11.271522
DEH1_2022,GEMN-0096_LH212HT_0027/LH244,11.257008
DEH1_2022,GEMN-0096_PHJ89_0001/LH244,11.239246
DEH1_2022,GEMN-0096_PHJ89_0002/LH244,11.281151
DEH1_2022,GEMN-0096_PHJ89_0006/LH244,11.254992
DEH1_2022,GEMN-0096_PHJ89_0007/LH244,11.253508
DEH1_2022,GEMN-0096_PHJ89_0009/LH244,11.229229
DEH1_2022,GEMN-0096_PHJ89_0010/LH244,11.277825
DEH1_2022,GEMN-0096_PHJ89_0011/LH244,11.245993
DEH1_2022,GEMN-0096_PHJ89_0012/LH244,11.27031
DEH1_2022,GEMN-0096_PHJ89_0013/LH244,11.292946
DEH1_2022,GEMN-0096_PHJ89_0014/LH244,11.293717
DEH1_2022,GEMN-0096_PHJ89_0016/LH244,11.222962
DEH1_2022,GEMN-0096_PHK76_0001/LH244,11.26434
DEH1_2022,GEMN-0096_PHK76_0002/LH244,11.231935
DEH1_2022,GEMN-0096_PHK76_0003/LH244,11.256659
DEH1_2022,GEMN-0096_PHK76_0004/LH244,11.301636
DEH1_2022,GEMN-0096_PHK76_0006/LH244,11.313124
DEH1_2022,GEMN-0096_PHK76_0007/LH244,11.24389
DEH1_2022,GEMN-0096_PHK76_0008/LH244,11.257049
DEH1_2022,GEMN-0096_PHK76_0010/LH244,11.258325
DEH1_2022,GEMN-0096_PHK76_0013/LH244,11.227427
DEH1_2022,GEMN-0096_PHK76_0015/LH244,11.222628
DEH1_2022,GEMN-0096_PHK76_0016/LH244,11.238265
DEH1_2022,GEMN-0096_PHN46_0001/LH244,11.254753
DEH1_2022,GEMN-0096_PHN46_0003/LH244,11.230249
DEH1_2022,GEMN-0096_PHN46_0004/LH244,11.227207
DEH1_2022,GEMN-0096_PHN46_0005/LH244,11.256879
DEH1_2022,GEMN-0096_PHN46_0007/LH244,11.236124
DEH1_2022,GEMN-0096_PHN46_0008/LH244,11.253749
DEH1_2022,GEMN-0096_PHN46_0012/LH244,11.309811
DEH1_2022,GEMN-0096_PHN46_0013/LH244,11.208737
DEH1_2022,GEMN-0096_PHN46_0014/LH244,11.239293
DEH1_2022,GEMN-0096_PHN46_0018/LH244,11.238346
DEH1_2022,GEMN-0096_PHN46_0020/LH244,11.22821
DEH1_2022,GEMN-0096_PHN46_0023/LH244,11.239916
DEH1_2022,GEMN-0096_PHP02_0001/LH244,11.263813
DEH1_2022,GEMN-0096_PHP02_0002/LH244,11.255033
DEH1_2022,GEMN-0096_PHP02_0003/LH244,11.284973
DEH1_2022,GEMN-0096_PHP02_0004/LH244,11.257617
DEH1_2022,GEMN-0096_PHP02_0005/LH244,11.282332
DEH1_2022,GEMN-0096_PHP02_0006/LH244,11.254109
DEH1_2022,GEMN-0096_PHP02_0007/LH244,11.219585
DEH1_2022,GEMN-0096_PHP02_0009/LH244,11.28534
DEH1_2022,GEMN-0096_PHP02_0011/LH244,11.260597
DEH1_2022,GEMN-0096_PHP02_0012/LH244,11.252116
DEH1_2022,GEMN-0096_PHP02_0015/LH244,11.269785
DEH1_2022,GEMN-0096_PHP02_0016/LH244,11.242333
DEH1_2022,GEMN-0096_PHP02_0025/LH244,11.309124
DEH1_2022,GEMN-0096_PHP02_0030/LH244,11.262998
DEH1_2022,GEMN-0097/LH244,11.264553
DEH1_2022,GEMN-0097_LH212HT_0002/LH244,11.310662
DEH1_2022,GEMN-0097_LH212HT_0004/LH244,11.237204
DEH1_2022,GEMN-0097_LH212HT_0018/LH244,11.261061
DEH1_2022,GEMN-0097_LH212HT_0019/LH244,11.268808
DEH1_2022,GEMN-0097_LH212HT_0020/LH244,11.294258
DEH1_2022,GEMN-0097_LH212HT_0023/LH244,11.298429
DEH1_2022,GEMN-0097_LH212HT_0026/LH244,11.273717
DEH1_2022,GEMN-0097_LH212HT_0032/LH244,11.300034
DEH1_2022,GEMN-0097_LH212HT_0034/LH244,11.271809
DEH1_2022,GEMN-0097_LH212HT_0039/LH244,11.258169
DEH1_2022,GEMN-0097_LH212HT_0047/LH244,11.283489
DEH1_2022,GEMN-0097_LH212HT_0051/LH244,11.244518
DEH1_2022,GEMN-0097_LH212HT_0054/LH244,11.231421
DEH1_2022,GEMN-0097_LH212HT_0058/LH244,11.256638
DEH1_2022,GEMN-0097_LH212HT_0061/LH244,11.230583
DEH1_2022,GEMN-0097_LH212HT_0062/LH244,11.276567
DEH1_2022,GEMN-0097_LH212HT_0069/LH244,11.250225
DEH1_2022,GEMN-0097_LH212HT_0074/LH244,11.248592
DEH1_2022,GEMN-0097_LH212HT_0078/LH244,11.264311
DEH1_2022,GEMN-0097_LH212HT_0085/LH244,11.238264
DEH1_2022,GEMN-0097_LH212HT_0090/LH244,11.270354
DEH1_2022,GEMN-0097_PHJ89_0001/LH244,11.23567
DEH1_2022,GEMN-0097_PHJ89_0002/LH244,11.262901
DEH1_2022,GEMN-0097_PHJ89_0003/LH244,11.271624
DEH1_2022,GEMN-0097_PHJ89_0005/LH244,11.228208
DEH1_2022,GEMN-0097_PHJ89_0006/LH244,11.248674
DEH1_2022,GEMN-0097_PHJ89_0007/LH244,11.265512
DEH1_2022,GEMN-0097_PHJ89_0008/LH244,11.276904
DEH1_2022,GEMN-0097_PHJ89_0010/LH244,11.302351
DEH1_2022,GEMN-0097_PHJ89_0011/LH244,11.252263
DEH1_2022,GEMN-0097_PHJ89_0012/LH244,11.296831
DEH1_2022,GEMN-0097_PHJ89_0013/LH244,11.271877
DEH1_2022,GEMN-0097_PHJ89_0016/LH244,11.299005
DEH1_2022,GEMN-0097_PHJ89_0020/LH244,11.25458
DEH1_2022,GEMN-0097_PHJ89_0023/LH244,11.281423
DEH1_2022,GEMN-0097_PHJ89_0025/LH244,11.227478
DEH1_2022,GEMN-0097_PHJ89_0026/LH244,11.285546
DEH1_2022,GEMN-0097_PHJ89_0027/LH244,11.229366
DEH1_2022,GEMN-0097_PHJ89_0028/LH244,11.265446
DEH1_2022,GEMN-0097_PHJ89_0029/LH244,11.270677
DEH1_2022,GEMN-0097_PHJ89_0033/LH244,11.269444
DEH1_2022,GEMN-0097_PHJ89_0036/LH244,11.233355
DEH1_2022,GEMN-0097_PHJ89_0039/LH244,11.235273
DEH1_2022,GEMN-0097_PHK76_0002/LH244,11.282601
DEH1_2022,GEMN-0097_PHK76_0003/LH244,11.273432
DEH1_2022,GEMN-0097_PHK76_0007/LH244,11.242268
DEH1_2022,GEMN-0097_PHK76_0009/LH244,11.272087
DEH1_2022,GEMN-0097_PHK76_0010/LH244,11.2336
DEH1_2022,GEMN-0097_PHK76_0011/LH244,11.263686
DEH1_2022,GEMN-0097_PHK76_0012/LH244,11.269347
DEH1_2022,GEMN-0097_PHK76_0014/LH244,11.27172
DEH1_2022,GEMN-0097_PHK76_0015/LH244,11.27059
DEH1_2022,GEMN-0097_PHK76_0016/LH244,11.227608
DEH1_2022,GEMN-0097_PHK76_0017/LH244,11.259207
DEH1_2022,GEMN-0097_PHK76_0018/LH244,11.235404
DEH1_2022,GEMN-0097_PHK76_0021/LH244,11.232929
DEH1_2022,GEMN-0097_PHK76_0023/LH244,11.239525
DEH1_2022,GEMN-0097_PHK76_0029/LH244,11.26966
DEH1_2022,GEMN-0097_PHK76_0032/LH244,11.260908
DEH1_2022,GEMN-0097_PHK76_0036/LH244,11.290981
DEH1_2022,GEMN-0097_PHK76_0037/LH244,11.30772
DEH1_2022,GEMN-0097_PHK76_0038/LH244,11.256061
DEH1_2022,GEMN-0097_PHK76_0039/LH244,11.300733
DEH1_2022,GEMN-0097_PHK76_0041/LH244,11.252798
DEH1_2022,GEMN-0097_PHK76_0048/LH244,11.299866
DEH1_2022,GEMN-0097_PHK76_0053/LH244,11.293835
DEH1_2022,GEMN-0097_PHK76_0055/LH244,11.266998
DEH1_2022,GEMN-0097_PHK76_0060/LH244,11.265394
DEH1_2022,GEMN-0097_PHN46_0001/LH244,11.229917
DEH1_2022,GEMN-0097_PHN46_0002/LH244,11.213221
DEH1_2022,GEMN-0097_PHN46_0003/LH244,11.280996
DEH1_2022,GEMN-0097_PHN46_0004/LH244,11.27573
DEH1_2022,GEMN-0097_PHN46_0005/LH244,11.284769
DEH1_2022,GEMN-0097_PHN46_0006/LH244,11.274576
DEH1_2022,GEMN-0097_PHN46_0007/LH244,11.291468
DEH1_2022,GEMN-0097_PHN46_0008/LH244,11.312717
DEH1_2022,GEMN-0097_PHN46_0009/LH244,11.263006
DEH1_2022,GEMN-0097_PHN46_0010/LH244,11.252108
DEH1_2022,GEMN-0097_PHN46_0011/LH244,11.200038
DEH1_2022,GEMN-0097_PHN46_0014/LH244,11.243774
DEH1_2022,GEMN-0097_PHN46_0016/LH244,11.267305
DEH1_2022,GEMN-0097_PHN46_0018/LH244,11.258435
DEH1_2022,GEMN-0097_PHP02_0001/LH244,11.211446
DEH1_2022,GEMN-0097_PHP02_0002/LH244,11.262951
DEH1_2022,GEMN-0097_PHP02_0003/LH244,11.25332
DEH1_2022,GEMN-0097_PHP02_0005/LH244,11.239123
DEH1_2022,GEMN-0097_PHP02_0006/LH244,11.237827
DEH1_2022,GEMN-0097_PHP02_0007/LH244,11.280886
DEH1_2022,GEMN-0098/LH244,11.269683
DEH1_2022,GEMN-0104/LH244,11.215399
DEH1_2022,GEMN-0124/LH244,11.244586
DEH1_2022,GEMN-0135/LH244,11.266813
DEH1_2022,GEMN-0144/LH244,11.255394
DEH1_2022,GEMN-0157/LH244,11.252377
DEH1_2022,GEMN-0177/LH244,11.281408
DEH1_2022,GEMN-0178/LH244,11.293512
DEH1_2022,GEMN-0187/LH244,11.280048
DEH1_2022,GEMN-0192/LH244,11.2547
DEH1_2022,GEMN-0192_LH212HT_0001/LH244,11.256925
DEH1_2022,GEMN-0192_LH212HT_0002/LH244,11.301961
DEH1_2022,GEMN-0192_LH212HT_0006/LH244,11.327337
DEH1_2022,GEMN-0192_LH212HT_0007/LH244,11.2542
DEH1_2022,GEMN-0192_LH212HT_0008/LH244,11.313697
DEH1_2022,GEMN-0192_LH212HT_0009/LH244,11.26668
DEH1_2022,GEMN-0192_LH212HT_0010/LH244,11.259512
DEH1_2022,GEMN-0192_LH212HT_0011/LH244,11.2903
DEH1_2022,GEMN-0192_LH212HT_0012/LH244,11.264363
DEH1_2022,GEMN-0192_LH212HT_0013/LH244,11.225801
DEH1_2022,GEMN-0192_LH212HT_0014/LH244,11.236794
DEH1_2022,GEMN-0192_LH212HT_0015/LH244,11.239381
DEH1_2022,GEMN-0192_LH212HT_0018/LH244,11.270639
DEH1_2022,GEMN-0192_LH212HT_0021/LH244,11.244799
DEH1_2022,GEMN-0192_LH212HT_0023/LH244,11.222527
DEH1_2022,GEMN-0192_PHJ89_0001/LH244,11.271048
DEH1_2022,GEMN-0192_PHJ89_0002/LH244,11.236397
DEH1_2022,GEMN-0192_PHK76_0002/LH244,11.307405
DEH1_2022,GEMN-0192_PHK76_0004/LH244,11.280622
DEH1_2022,GEMN-0192_PHK76_0005/LH244,11.259086
DEH1_2022,GEMN-0192_PHK76_0006/LH244,11.24032
DEH1_2022,GEMN-0192_PHK76_0007/LH244,11.30409
DEH1_2022,GEMN-0192_PHK76_0008/LH244,11.268843
DEH1_2022,GEMN-0192_PHK76_0009/LH244,11.268462
DEH1_2022,GEMN-0192_PHK76_0010/LH244,11.222795
DEH1_2022,GEMN-0192_PHK76_0011/LH244,11.271936
DEH1_2022,GEMN-0192_PHK76_0012/LH244,11.247612
DEH1_2022,GEMN-0192_PHK76_0013/LH244,11.296613
DEH1_2022,GEMN-0192_PHK76_0014/LH244,11.313467
DEH1_2022,GEMN-0192_PHK76_0015/LH244,11.29108
DEH1_2022,GEMN-0192_PHK76_0016/LH244,11.268368
DEH1_2022,GEMN-0192_PHK76_0017/LH244,11.2679
DEH1_2022,GEMN-0192_PHK76_0018/LH244,11.289295
DEH1_2022,GEMN-0192_PHK76_0019/LH244,11.268847
DEH1_2022,GEMN-0192_PHK76_0021/LH244,11.260502
DEH1_2022,GEMN-0192_PHK76_0025/LH244,11.236912
DEH1_2022,GEMN-0192_PHK76_0027/LH244,11.243248
DEH1_2022,GEMN-0192_PHK76_0028/LH244,11.298021
DEH1_2022,GEMN-0192_PHK76_0030/LH244,11.273942
DEH1_2022,GEMN-0192_PHK76_0032/LH244,11.275151
DEH1_2022,GEMN-0192_PHK76_0033/LH244,11.247999
DEH1_2022,GEMN-0192_PHK76_0035/LH244,11.247697
DEH1_2022,GEMN-0192_PHK76_0036/LH244,11.27586
DEH1_2022,GEMN-0192_PHK76_0037/LH244,11.266474
DEH1_2022,GEMN-0192_PHK76_0041/LH244,11.261271
DEH1_2022,GEMN-0192_PHK76_0044/LH244,11.229563
DEH1_2022,GEMN-0192_PHK76_0045/LH244,11.259111
DEH1_2022,GEMN-0192_PHN46_0001/LH244,11.276953
DEH1_2022,GEMN-0192_PHN46_0002/LH244,11.312198
DEH1_2022,GEMN-0192_PHN46_0003/LH244,11.262503
DEH1_2022,GEMN-0192_PHN46_0004/LH244,11.254196
DEH1_2022,GEMN-0192_PHN46_0005/LH244,11.283273
DEH1_2022,GEMN-0192_PHN46_0006/LH244,11.228304
DEH1_2022,GEMN-0192_PHN46_0007/LH244,11.239082
DEH1_2022,GEMN-0192_PHN46_0008/LH244,11.276723
DEH1_2022,GEMN-0192_PHN46_0009/LH244,11.270155
DEH1_2022,GEMN-0192_PHN46_0010/LH244,11.300688
DEH1_2022,GEMN-0192_PHN46_0011/LH244,11.276119
DEH1_2022,GEMN-0192_PHN46_0012/LH244,11.214027
DEH1_2022,GEMN-0192_PHN46_0014/LH244,11.201248
DEH1_2022,GEMN-0192_PHN46_0015/LH244,11.290714
DEH1_2022,GEMN-0192_PHN46_0017/LH244,11.244373
DEH1_2022,GEMN-0192_PHN46_0018/LH244,11.274699
DEH1_2022,GEMN-0192_PHN46_0019/LH244,11.269754
DEH1_2022,GEMN-0192_PHN46_0020/LH244,11.27515
DEH1_2022,GEMN-0192_PHN46_0021/LH244,11.222789
DEH1_2022,GEMN-0192_PHN46_0025/LH244,11.293828
DEH1_2022,GEMN-0192_PHP02_0001/LH244,11.293603
DEH1_2022,GEMN-0192_PHP02_0003/LH244,11.237788
DEH1_2022,GEMN-0207/LH244,11.309203
DEH1_2022,GEMN-0225/LH244,11.254231
DEH1_2022,GEMN-0225_LH212HT_0002/LH244,11.253988
DEH1_2022,GEMN-0225_LH212HT_0003/LH244,11.260085
DEH1_2022,GEMN-0225_LH212HT_0005/LH244,11.27981
DEH1_2022,GEMN-0225_LH212HT_0006/LH244,11.232943
DEH1_2022,GEMN-0225_LH212HT_0008/LH244,11.221652
DEH1_2022,GEMN-0225_LH212HT_0009/LH244,11.231643
DEH1_2022,GEMN-0225_LH212HT_0015/LH244,11.299505
DEH1_2022,GEMN-0225_LH212HT_0017/LH244,11.32521
DEH1_2022,GEMN-0225_LH212HT_0021/LH244,11.298981
DEH1_2022,GEMN-0225_LH212HT_0023/LH244,11.238058
DEH1_2022,GEMN-0225_LH212HT_0024/LH244,11.255569
DEH1_2022,GEMN-0225_LH212HT_0025/LH244,11.276493
DEH1_2022,GEMN-0225_LH212HT_0029/LH244,11.307618
DEH1_2022,GEMN-0225_LH212HT_0036/LH244,11.270356
DEH1_2022,GEMN-0225_LH212HT_0038/LH244,11.290681
DEH1_2022,GEMN-0225_LH212HT_0040/LH244,11.256677
DEH1_2022,GEMN-0225_LH212HT_0043/LH244,11.276492
DEH1_2022,GEMN-0225_PHJ89_0001/LH244,11.250725
DEH1_2022,GEMN-0225_PHJ89_0002/LH244,11.298111
DEH1_2022,GEMN-0225_PHJ89_0003/LH244,11.22629
DEH1_2022,GEMN-0225_PHJ89_0004/LH244,11.266555
DEH1_2022,GEMN-0225_PHJ89_0005/LH244,11.248526
