Env,Hybrid,Yield_Mg_ha
DEH1_2022,B14A/OH43,8.848087025261142
DEH1_2022,B37/H95,8.830355
DEH1_2022,B73/MO17,10.407211
DEH1_2022,B73/PHN82,10.609364
DEH1_2022,B73/TX779,9.548571
DEH1_2022,B97/LH244,9.774535
DEH1_2022,BGEM-0039-N/LH244,9.4372425
DEH1_2022,BGEM-0063-N/LH244,9.468805
DEH1_2022,BGEM-0089-N/LH244,9.50469
DEH1_2022,BGEM-0124-N/LH244,9.380674
DEH1_2022,BGEM-0129-N/LH244,9.499912
DEH1_2022,CG119/CG108,8.469718
DEH1_2022,CG44/CGR01,9.05548
DEH1_2022,DK3IIH6/LH244,9.861214
DEH1_2022,DK78010/LH244,9.928172
DEH1_2022,GEMN-0096/LH244,9.495425
DEH1_2022,GEMN-0096_LH212HT_0001/LH244,9.83172
DEH1_2022,GEMN-0096_LH212HT_0002/LH244,9.740155
DEH1_2022,GEMN-0096_LH212HT_0003/LH244,9.83333
DEH1_2022,GEMN-0096_LH212HT_0004/LH244,9.850047
DEH1_2022,GEMN-0096_LH212HT_0005/LH244,10.082871
DEH1_2022,GEMN-0096_LH212HT_0006/LH244,9.677707
DEH1_2022,GEMN-0096_LH212HT_0008/LH244,10.087681
DEH1_2022,GEMN-0096_LH212HT_0009/LH244,9.964706
DEH1_2022,GEMN-0096_LH212HT_0012/LH244,9.63252
DEH1_2022,GEMN-0096_LH212HT_0013/LH244,9.780954
DEH1_2022,GEMN-0096_LH212HT_0017/LH244,9.959005
DEH1_2022,GEMN-0096_LH212HT_0020/LH244,9.570237
DEH1_2022,GEMN-0096_LH212HT_0021/LH244,9.833545
DEH1_2022,GEMN-0096_LH212HT_0027/LH244,9.798719
DEH1_2022,GEMN-0096_PHJ89_0001/LH244,9.527462
DEH1_2022,GEMN-0096_PHJ89_0002/LH244,9.605557
DEH1_2022,GEMN-0096_PHJ89_0006/LH244,9.615089
DEH1_2022,GEMN-0096_PHJ89_0007/LH244,9.455839
DEH1_2022,GEMN-0096_PHJ89_0009/LH244,9.697848
DEH1_2022,GEMN-0096_PHJ89_0010/LH244,9.829264
DEH1_2022,GEMN-0096_PHJ89_0011/LH244,9.3666725
DEH1_2022,GEMN-0096_PHJ89_0012/LH244,9.4536085
DEH1_2022,GEMN-0096_PHJ89_0013/LH244,9.861868
DEH1_2022,GEMN-0096_PHJ89_0014/LH244,9.482636
DEH1_2022,GEMN-0096_PHJ89_0016/LH244,9.7912
DEH1_2022,GEMN-0096_PHK76_0001/LH244,9.494585
DEH1_2022,GEMN-0096_PHK76_0002/LH244,9.533307
DEH1_2022,GEMN-0096_PHK76_0003/LH244,9.599211
DEH1_2022,GEMN-0096_PHK76_0004/LH244,9.593183
DEH1_2022,GEMN-0096_PHK76_0006/LH244,9.523965
DEH1_2022,GEMN-0096_PHK76_0007/LH244,9.510662
DEH1_2022,GEMN-0096_PHK76_0008/LH244,9.454035
DEH1_2022,GEMN-0096_PHK76_0010/LH244,9.571874
DEH1_2022,GEMN-0096_PHK76_0013/LH244,9.545382
DEH1_2022,GEMN-0096_PHK76_0015/LH244,9.554203
DEH1_2022,GEMN-0096_PHK76_0016/LH244,9.464226
DEH1_2022,GEMN-0096_PHN46_0001/LH244,9.786883
DEH1_2022,GEMN-0096_PHN46_0003/LH244,9.760546
DEH1_2022,GEMN-0096_PHN46_0004/LH244,9.652631
DEH1_2022,GEMN-0096_PHN46_0005/LH244,9.486184
DEH1_2022,GEMN-0096_PHN46_0007/LH244,9.805096
DEH1_2022,GEMN-0096_PHN46_0008/LH244,10.228933
DEH1_2022,GEMN-0096_PHN46_0012/LH244,9.481472
DEH1_2022,GEMN-0096_PHN46_0013/LH244,9.270679
DEH1_2022,GEMN-0096_PHN46_0014/LH244,9.67207
DEH1_2022,GEMN-0096_PHN46_0018/LH244,9.984749
DEH1_2022,GEMN-0096_PHN46_0020/LH244,9.980229
DEH1_2022,GEMN-0096_PHN46_0023/LH244,9.619024
DEH1_2022,GEMN-0096_PHP02_0001/LH244,9.759472
DEH1_2022,GEMN-0096_PHP02_0002/LH244,9.624656
DEH1_2022,GEMN-0096_PHP02_0003/LH244,9.569893
DEH1_2022,GEMN-0096_PHP02_0004/LH244,9.678053
DEH1_2022,GEMN-0096_PHP02_0005/LH244,9.430738
DEH1_2022,GEMN-0096_PHP02_0006/LH244,9.561126
DEH1_2022,GEMN-0096_PHP02_0007/LH244,10.093501
DEH1_2022,GEMN-0096_PHP02_0009/LH244,9.6951685
DEH1_2022,GEMN-0096_PHP02_0011/LH244,9.888258
DEH1_2022,GEMN-0096_PHP02_0012/LH244,9.961767
DEH1_2022,GEMN-0096_PHP02_0015/LH244,9.758076
DEH1_2022,GEMN-0096_PHP02_0016/LH244,9.894197
DEH1_2022,GEMN-0096_PHP02_0025/LH244,9.594066
DEH1_2022,GEMN-0096_PHP02_0030/LH244,9.75808
DEH1_2022,GEMN-0097/LH244,9.806296
DEH1_2022,GEMN-0097_LH212HT_0002/LH244,9.194706
DEH1_2022,GEMN-0097_LH212HT_0004/LH244,9.346185
DEH1_2022,GEMN-0097_LH212HT_0018/LH244,9.743435
