,team,Mean_r,submitted
1,Naaa,0.45005357730738865,2025-01-13
2,NJUST_KMG1,0.44401613420534763,2025-01-16
3,Model 2022 (not competing),0.4376582214813316,2025-01-04
4,wer2(not competing),0.437658206554724,2025-01-12
5,PARaBra,0.4370969326411224,2025-01-08
6,transform(Base),0.42605403784348,2025-01-15
7,The Cornquerors,0.42574219982559014,2025-01-15
8,GxE4GoodY,0.4143020020522857,2025-01-16
9,LisbonBio,0.41406293109899256,2025-01-15
10,fortunehy,0.4128842874553842,2025-01-15
11,G2Amours(G_et_E),0.4052351958122209,2024-12-22
12,UFEED,0.4032893379438693,2024-12-21
13,Demeter,0.39362647793750993,2025-01-02
14,aolaxing,0.3853224155218436,2025-01-07
15,ORNL_CompBio,0.3825432019845605,2025-01-15
16,MPB_Group,0.379316170960184,2024-12-16
17,gucheng,0.3716533182961587,2024-12-31
18,MAMAMYA,0.3714436725228897,2025-01-10
19,MmdlForGxe,0.3702292508788138,2025-01-15
20,DeepGE,0.36755892232188336,2025-01-16
21,tawfekh,0.3675013189857657,2025-01-02
22,Losers,0.36716171863815866,2025-01-14
23,PP_Team,0.36561765364755716,2024-12-19
24,NDSUAgriculturalDataAnalytics,0.3584769281494704,2024-12-24
25,Yield Oracles,0.35280572183255676,2025-01-15
26,BrightGuru,0.3515547691767946,2025-01-14
27,TeamIG,0.34946177741298506,2025-01-16
28,PhenoMaize2,0.349414373442459,2025-01-08
29,QGG,0.3460751621751069,2025-01-15
30,CADA,0.3442623037762717,2025-01-14
31,ThunderSt,0.3440024985522825,2025-01-15
32,HEU_NIG,0.34374127798557974,2025-01-06
33,Shennong,0.34129321157968256,2025-01-03
34,Oracle_g2f,0.3287064083877561,2025-01-15
35,AustinLeefers,0.3219216071741693,2025-01-16
36,Honeycrisp,0.32148104901202096,2024-12-18
37,SHAI_LAB,0.31629580450599537,2024-12-27
38,Latin GxE,0.31125672318554326,2025-01-08
39,KAUSTians,0.30706979472885565,2025-01-15
40,Hey,0.3017453770613527,2025-01-04
41,Cruzeiro,0.29869923512191016,2024-12-18
42,PolygenicHarvesters,0.29200129843825934,2025-01-15
43,CropCircles,0.29131160599071826,2025-01-15
44,GPUxFundamentalModels,0.28783219923938985,2025-01-15
45,MRIGlobal,0.2855406825992001,2025-01-15
46,Cornucopia,0.27700958043426405,2025-01-12
47,bhabisyewani,0.27478122610447514,2024-12-30
48,UIUC Digital Farmhand,0.2679511024358991,2025-01-16
49,Stalk Overflow,0.2558059797047856,2025-01-03
50,Kernel Collective,0.24527448530821758,2025-01-03
51,A-Maize-ing Grains,0.19523373486037068,2025-01-15
52,Badger,0.16470713476597507,2025-01-14
53,Matrix of the Maize,0.160126168398409,2025-01-13
54,PixelPopped Corn,0.1593517396943203,2025-01-14
55,Toni Kazic,0.15628506771169795,2025-01-15
56,Phenomate,0.14811096607224053,2025-01-15
57,AgriDatalytics,0.13759915859313954,2025-01-12
58,sora,0.11309171117736722,2025-01-08
59,test_team_,0.07189927129577728,2025-01-09
60,EnBiSys25,0.04783426622831921,2025-01-16
61,Jxu58,0.01729834375118315,2025-01-14
62,ZZH,0.016729630611187443,2025-01-12
63,SNPHappens,0.0012320720487179941,2025-01-15
64,Phenix,-0.024543265235890788,2025-01-02
