metric,transform,tie_convention,p_ranking_changed,ci_lo,ci_hi,p_top1_changed,pair_reversal_rate,mean_kendall_tau,median_rel_value_change
RMSE,affine,tie-safe,1.0,0.9908201954163347,1.0,0.985,0.5555,-0.11099999999999997,0.8990038228109041
MAE,affine,tie-safe,1.0,0.9908201954163347,1.0,0.9625,0.658,-0.316,0.9336820596758346
normalized_RMSE,affine,tie-safe,1.0,0.9908201954163347,1.0,0.985,0.5555,-0.11099999999999997,0.8990038228109041
relative_RMSE,affine,tie-safe,1.0,0.9908201954163347,1.0,0.985,0.5555,-0.11099999999999997,0.8990038228109041
normalized_MAE,affine,tie-safe,1.0,0.9908201954163347,1.0,0.9625,0.658,-0.316,0.9336820596758346
realative_MAE,affine,tie-safe,1.0,0.9908201954163347,1.0,0.9625,0.658,-0.316,0.9336820596758346
r2_score,affine,tie-safe,1.0,0.9908201954163347,1.0,0.985,0.5555,-0.11099999999999997,19.49699885098702
pearson_r,affine,tie-safe,0.9925,0.9782393314855828,0.9984506410500943,0.69,0.414,0.172,0.9486104520826042
r2_pearson,affine,tie-safe,0.985,0.9676387055192249,0.9944758904954193,0.76,0.4685,0.06299999999999999,0.9214512005795823
spearman_r,affine,tie-safe,0.985,0.9676387055192249,0.9944758904954193,0.7,0.4135,0.17299999999999996,1.011058106088297
lineRegressSlope,affine,tie-safe,0.995,0.9820558553944145,0.9993939021906778,0.865,0.5495,-0.09899999999999999,0.9585652940808334
mean_RMSE,affine,tie-safe,1.0,0.9908201954163347,1.0,0.9675,0.648,-0.29600000000000004,0.7740956516615894
mean_MAE,affine,tie-safe,1.0,0.9908201954163347,1.0,0.97,0.69875,-0.3975,0.906711805944349
mean_normalized_RMSE,affine,tie-safe,1.0,0.9908201954163347,1.0,0.97,0.51925,-0.0385,0.7786875492396796
mean_relative_RMSE,affine,tie-safe,0.96,0.9358539890609492,0.9769666042594511,0.2175,0.29225,0.4155,0.729182224959612
mean_normalized_MAE,affine,tie-safe,1.0,0.9908201954163347,1.0,0.9725,0.6175,-0.235,0.9110677298415004
mean_realative_MAE,affine,tie-safe,0.965,0.9419727383175839,0.9807355334141201,0.22,0.29375,0.4125,0.8451939016960661
mean_r2_score,affine,tie-safe,1.0,0.9908201954163347,1.0,0.1725,0.37375,0.2525,3.775721073097289
mean_pearson_r,affine,tie-safe,0.0,0.0,0.00917980458366526,0.0,0.0,0.9999999999999999,1.951592246561401e-16
mean_r2_pearson,affine,tie-safe,0.0,0.0,0.00917980458366526,0.0,0.0,0.9999999999999999,2.525891108263799e-16
mean_spearman_r,affine,tie-safe,0.0,0.0,0.00917980458366526,0.0,0.0,0.9999999999999999,0.0
mean_lineRegressSlope,affine,tie-safe,0.985,0.9676387055192249,0.9944758904954193,0.8725,0.293,0.4139999999999999,0.09790802100128662
RMSE,monotone,tie-safe,0.9875,0.9710716562147131,0.9959291641554002,0.8125,0.499,0.0020000000000000018,2.0526764008715066
MAE,monotone,tie-safe,0.9925,0.9782393314855828,0.9984506410500943,0.805,0.49875,0.0025000000000000022,2.718047320626516
normalized_RMSE,monotone,tie-safe,0.9875,0.9710716562147131,0.9959291641554002,0.8125,0.499,0.0020000000000000018,2.0526764008715066
relative_RMSE,monotone,tie-safe,0.9875,0.9710716562147131,0.9959291641554002,0.8125,0.499,0.0020000000000000018,2.0526764008715066
normalized_MAE,monotone,tie-safe,0.9925,0.9782393314855828,0.9984506410500943,0.805,0.49875,0.0025000000000000022,2.718047320626516
realative_MAE,monotone,tie-safe,0.9925,0.9782393314855828,0.9984506410500943,0.805,0.49875,0.0025000000000000022,2.718047320626516
r2_score,monotone,tie-safe,0.9875,0.9710716562147131,0.9959291641554002,0.8125,0.499,0.0020000000000000018,60.62428006241615
pearson_r,monotone,tie-safe,0.9925,0.9782393314855828,0.9984506410500943,0.8025,0.524,-0.04800000000000001,0.8617678503642319
r2_pearson,monotone,tie-safe,0.99,0.9745951990926638,0.9972688040287571,0.815,0.51875,-0.0375,0.9268467419365911
spearman_r,monotone,tie-safe,0.9975,0.9861502300379867,0.9999367074830952,0.805,0.527,-0.05399999999999999,0.8798144001933251
lineRegressSlope,monotone,tie-safe,0.99,0.9745951990926638,0.9972688040287571,0.77,0.48925,0.0215,1.212532607966419
mean_RMSE,monotone,tie-safe,1.0,0.9908201954163347,1.0,0.885,0.61,-0.21999999999999997,2.1543339384694753
mean_MAE,monotone,tie-safe,1.0,0.9908201954163347,1.0,0.8975,0.62675,-0.2535,2.5777956576915333
mean_normalized_RMSE,monotone,tie-safe,1.0,0.9908201954163347,1.0,1.0,0.68975,-0.3795,2.1316191809535816
mean_relative_RMSE,monotone,tie-safe,0.99,0.9745951990926638,0.9972688040287571,0.82,0.4855,0.028999999999999995,1.697596904103328
mean_normalized_MAE,monotone,tie-safe,1.0,0.9908201954163347,1.0,1.0,0.692,-0.384,2.531690652256473
mean_realative_MAE,monotone,tie-safe,0.995,0.9820558553944145,0.9993939021906778,0.835,0.504,-0.008000000000000002,1.9756367628697316
mean_r2_score,monotone,tie-safe,1.0,0.9908201954163347,1.0,1.0,0.6965,-0.39299999999999996,10.982507377736859
mean_pearson_r,monotone,tie-safe,0.9975,0.9861502300379867,0.9999367074830952,0.97,0.3445,0.311,0.1693441613167887
mean_r2_pearson,monotone,tie-safe,0.995,0.9820558553944145,0.9993939021906778,0.9375,0.4115,0.17699999999999996,0.2942210937433868
mean_spearman_r,monotone,tie-safe,0.0,0.0,0.00917980458366526,0.0,0.0,0.9999999999999999,0.0
mean_lineRegressSlope,monotone,tie-safe,0.99,0.9745951990926638,0.9972688040287571,0.6375,0.34725,0.3055,0.34632356847497425
RMSE,monotone,ordinal,0.9925,0.9782393314855828,0.9984506410500943,0.775,0.49475,0.010500000000000002,2.052654594582708
MAE,monotone,ordinal,0.99,0.9745951990926638,0.9972688040287571,0.7925,0.5005,-0.0009999999999999966,2.7195071746141726
normalized_RMSE,monotone,ordinal,0.9925,0.9782393314855828,0.9984506410500943,0.775,0.49475,0.010500000000000002,2.052654594582707
relative_RMSE,monotone,ordinal,0.9925,0.9782393314855828,0.9984506410500943,0.775,0.49475,0.010500000000000002,2.0526545945827075
normalized_MAE,monotone,ordinal,0.99,0.9745951990926638,0.9972688040287571,0.7925,0.5005,-0.0009999999999999966,2.719507174614173
realative_MAE,monotone,ordinal,0.99,0.9745951990926638,0.9972688040287571,0.7925,0.5005,-0.0009999999999999966,2.7195071746141726
r2_score,monotone,ordinal,0.9925,0.9782393314855828,0.9984506410500943,0.775,0.49475,0.010500000000000002,60.623309834176474
pearson_r,monotone,ordinal,0.9875,0.9710716562147131,0.9959291641554002,0.8025,0.5265,-0.053,0.8569909283942753
r2_pearson,monotone,ordinal,0.98,0.9609737232883799,0.9913268296308817,0.8,0.51775,-0.0355,0.9188654143106554
spearman_r,monotone,ordinal,0.9875,0.9710716562147131,0.9959291641554002,0.7975,0.529,-0.05799999999999999,0.8663968834348243
lineRegressSlope,monotone,ordinal,0.9875,0.9710716562147131,0.9959291641554002,0.745,0.48475,0.0305,1.24782900737062
mean_RMSE,monotone,ordinal,0.99,0.9745951990926638,0.9972688040287571,0.795,0.497,0.005999999999999998,2.1546383026828666
mean_MAE,monotone,ordinal,0.9975,0.9861502300379867,0.9999367074830952,0.8,0.5075,-0.014999999999999998,2.5786820388447866
mean_normalized_RMSE,monotone,ordinal,0.9925,0.9782393314855828,0.9984506410500943,0.79,0.50125,-0.0025000000000000044,2.131350529886934
mean_relative_RMSE,monotone,ordinal,0.9925,0.9782393314855828,0.9984506410500943,0.7825,0.493,0.013999999999999995,1.6975697506152927
mean_normalized_MAE,monotone,ordinal,0.9925,0.9782393314855828,0.9984506410500943,0.805,0.507,-0.013999999999999999,2.5312726933757244
mean_realative_MAE,monotone,ordinal,0.9975,0.9861502300379867,0.9999367074830952,0.785,0.498,0.004,1.975660284067994
mean_r2_score,monotone,ordinal,0.9975,0.9861502300379867,0.9999367074830952,0.8125,0.509,-0.018,10.985553856813414
mean_pearson_r,monotone,ordinal,1.0,0.9908201954163347,1.0,0.9725,0.3495,0.301,0.1766033280998263
mean_r2_pearson,monotone,ordinal,0.9975,0.9861502300379867,0.9999367074830952,0.9525,0.43625,0.1275,0.3053569695919134
mean_spearman_r,monotone,ordinal,0.0,0.0,0.00917980458366526,0.0,0.0,0.9999999999999999,7.703947332370965e-05
mean_lineRegressSlope,monotone,ordinal,0.9875,0.9710716562147131,0.9959291641554002,0.6175,0.3495,0.301,0.32442508162731276
