metric,spread,min_adjacent_gap,min_gap_over_spread,values
mean_normalized_MAE,0.22468715182309618,0.0009307656084356353,0.00414249591435677,-1.3816 -1.4302 -1.4463 -1.4292 -1.6063
mean_normalized_RMSE,0.22322065249348655,0.001008491510530396,0.004517913101969018,-1.5892 -1.6338 -1.6535 -1.6525 -1.8124
r2_pearson,0.24355946792740688,0.0029699851084862587,0.012194086042967811,0.0075 0.2481 0.0046 0.0427 0.0174
spearman_r,0.5393116524624058,0.013154418494887687,0.02439112604896786,0.0998 0.5179 -0.0214 0.2346 0.1130
mean_MAE,0.4671160874068927,0.0119392645836367,0.025559523436487246,-2.5352 -2.7189 -2.6395 -2.6276 -3.0023
mean_spearman_r,0.04785775906922177,0.0014227352127641063,0.029728412705372458,0.1259 0.1030 0.1244 0.0799 0.0780
normalized_MAE,0.13921314176582966,0.004462240675670581,0.03205330056537704,-0.8025 -0.9003 -0.8373 -0.8417 -0.9417
MAE,0.4267007204421023,0.013677166443793798,0.03205330056537744,-2.4596 -2.7595 -2.5663 -2.5800 -2.8863
realative_MAE,0.04226366133422768,0.0013546898397393536,0.032053300565378216,-0.2436 -0.2733 -0.2542 -0.2555 -0.2859
mean_r2_pearson,0.042802837776915084,0.0017923639996329337,0.041874887103854876,0.0259 0.0121 0.0222 0.0549 0.0241
mean_lineRegressSlope,0.28321970561157384,0.016110000681036296,0.05688163768918895,-0.2241 -0.5074 -0.2693 -0.2532 -0.4473
mean_RMSE,0.46545216206507023,0.026717581236065158,0.05740134736409289,-2.9294 -3.1050 -3.0346 -3.0613 -3.3949
mean_realative_MAE,0.05915947694951035,0.004613785753993627,0.07798895446508532,-0.3105 -0.2805 -0.3178 -0.3396 -0.3350
pearson_r,0.5657238172774932,0.04525120381355041,0.0799881539923822,0.0868 0.4981 -0.0676 0.2067 0.1321
mean_relative_RMSE,0.061017391757027806,0.005913988477777021,0.09692299699283467,-0.3520 -0.3231 -0.3595 -0.3841 -0.3782
mean_pearson_r,0.12032683179407805,0.011779141305914315,0.0978928899754679,0.1422 0.0979 0.1304 0.2182 0.1168
lineRegressSlope,1.107842572316946,0.1321971482814892,0.1193284601845654,-0.3569 -1.4647 -1.3325 -0.4958 -0.7783
mean_r2_score,1.0814480042689079,0.15726313182737384,0.14541904114353474,-2.0597 -1.9024 -2.2941 -2.5999 -2.9839
r2_score,0.3437693777652444,0.07093958262674716,0.20635806216338112,-0.0138 -0.1590 -0.0881 -0.2455 -0.3575
RMSE,0.4851225149010685,0.10257821611728213,0.2114480630489826,-3.0861 -3.2998 -3.1973 -3.4207 -3.5712
relative_RMSE,0.04805019699555341,0.010160121083831852,0.21144806304898345,-0.3057 -0.3268 -0.3167 -0.3388 -0.3537
normalized_RMSE,0.15827353038154035,0.03346663143110118,0.2114480630489837,-1.0069 -1.0766 -1.0431 -1.1160 -1.1651
