team,official_2022,official_2024,tier_I,move_2022_to_TierI
AIBreeding,10.0,10.0,12.0,-2.0
AIMaize,24.0,28.0,26.0,-2.0
AgroStat,11.0,21.0,23.0,-12.0
AllModelsAreWrong,15.0,4.0,5.0,10.0
BioSense,20.0,19.0,21.0,-1.0
CGM,4.0,2.0,2.0,2.0
CLAC,1.0,1.0,1.0,0.0
CropEnthusiast,17.0,20.0,24.0,-7.0
CropsAreCool,14.0,15.0,20.0,-6.0
DataJanitors,13.0,5.0,4.0,9.0
DeepCropVision,18.0,30.0,30.0,-12.0
EnBiSys,25.0,11.0,18.0,7.0
G2P,22.0,26.0,22.0,0.0
Genetwister,26.0,23.0,25.0,1.0
Kernel of Truth,21.0,29.0,29.0,-8.0
ML_APT,8.0,14.0,15.0,-7.0
MPB_Group,9.0,6.0,9.0,0.0
Niche Squad,28.0,22.0,19.0,9.0
Purdue,5.0,16.0,14.0,-9.0
SmAL,6.0,18.0,13.0,-7.0
TinyAfrica,30.0,25.0,17.0,13.0
UCD_MegaLMM,3.0,3.0,3.0,0.0
agAdaptAR,16.0,17.0,16.0,0.0
arulrich,12.0,13.0,10.0,2.0
cropmodel,23.0,27.0,27.0,-4.0
gartybois,27.0,12.0,11.0,16.0
igorkf,7.0,9.0,8.0,-1.0
phenomaize,2.0,8.0,6.0,-4.0
supermanwasd,19.0,7.0,7.0,12.0
uwaBioinfo,29.0,24.0,28.0,1.0
