species,trait,model,CV_split,correlation,RMSE,user_time
barley,BaMMV,BayesA,Split1CV1,0.727444704960406,1.60774195341287,1759.901
barley,BaMMV,BayesA,Split2CV1,0.688069504583553,1.73864735111474,1623.587
barley,BaMMV,BayesA,Split3CV1,0.728768152627014,1.62104613790985,1665.254
barley,BaMMV,BayesA,Split4CV1,0.678467597653028,1.7929291065026,1798.557
barley,BaMMV,BayesA,Split5CV1,0.685349385496613,1.71002558073696,1448.355
barley,BaMMV,BayesA,Split1CV2,0.680662862687705,1.73787666491735,1810.144
barley,BaMMV,BayesA,Split2CV2,0.683999599434301,1.75041486334224,1865.327
barley,BaMMV,BayesA,Split3CV2,0.708454162431138,1.65462723415372,1488.304
barley,BaMMV,BayesA,Split4CV2,0.727431966197386,1.65212465625828,1508.846
barley,BaMMV,BayesA,Split5CV2,0.699488132672659,1.68916536458173,1528.437
barley,BaMMV,BayesA,Split1CV3,0.705869774694108,1.71706678810879,2111.652
barley,BaMMV,BayesA,Split2CV3,0.712810790829634,1.6731665739343,1650.405
barley,BaMMV,BayesA,Split3CV3,0.722595132655094,1.65220145798062,2156.509
barley,BaMMV,BayesA,Split4CV3,0.743353758645273,1.58048212018094,1589.541
barley,BaMMV,BayesA,Split5CV3,0.677694097123434,1.76279500421975,1817.912
barley,BaMMV,BayesA,Split1CV4,0.731707337487148,1.59390056385311,1406.079
barley,BaMMV,BayesA,Split2CV4,0.671778191070398,1.73680044921705,1550.986
barley,BaMMV,BayesA,Split3CV4,0.693683053840584,1.72305122328136,1587.399
barley,BaMMV,BayesA,Split4CV4,0.722743051757893,1.67688967191596,2422.483
barley,BaMMV,BayesA,Split5CV4,0.721696507183097,1.66827870505462,2541.18700000001
barley,BaMMV,BayesA,Split1CV5,0.726130706994319,1.6458192743965,2700.411
barley,BaMMV,BayesA,Split2CV5,0.698483275458112,1.70085088663043,2866.197
barley,BaMMV,BayesA,Split3CV5,0.698789452548512,1.67395059315026,1861.06299999999
barley,BaMMV,BayesA,Split4CV5,0.666640232314578,1.79720884259176,2339.65
barley,BaMMV,BayesA,Split5CV5,0.707012918023679,1.68233946621161,2159.739
barley,BaMMV,BayesB,Split1CV1,0.728249833962619,1.60597629832645,1962.833
