Env,Date,QV2M,T2MDEW,PS,RH2M,WS2M,GWETTOP,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,T2M_MAX,T2M_MIN,T2MWET,GWETROOT,T2M,GWETPROF,ALLSKY_SFC_SW_DNI,PRECTOTCORR
ARH1_2016,20160101,3.54,-0.78,102.34,77.0,2.15,0.84,8.21,41.96,7.8,-0.7,1.15,0.83,3.08,0.8,5.96,0.0
ARH1_2016,20160102,3.23,-1.91,102.04,74.62,1.49,0.84,11.28,55.13,10.15,-3.1,0.42,0.83,2.74,0.8,16.13,0.0
ARH1_2016,20160103,4.09,1.05,101.59,80.69,1.95,0.84,9.78,49.21,12.39,-1.29,2.72,0.83,4.38,0.8,18.36,0.0
ARH1_2016,20160104,2.87,-3.49,102.24,79.88,3.45,0.84,7.35,35.66,4.56,-4.0,-1.79,0.83,-0.09,0.8,10.87,0.0
ARH1_2016,20160105,2.81,-3.64,102.37,78.81,1.95,0.84,13.0,62.04,6.94,-4.59,-1.74,0.82,0.16,0.8,27.02,0.0
ARH1_2016,20160106,3.85,0.27,101.83,81.75,2.05,0.84,12.03,58.96,10.18,-1.89,1.82,0.82,3.37,0.8,22.08,0.0
ARH1_2016,20160107,5.62,5.33,100.88,95.56,2.48,0.84,2.75,15.51,8.63,1.8,5.62,0.82,5.9,0.8,1.44,1.71
ARH1_2016,20160108,7.87,10.38,100.49,92.44,2.77,0.84,3.93,21.31,17.86,7.63,10.91,0.82,11.44,0.8,2.59,0.25
ARH1_2016,20160109,6.65,7.42,100.17,90.69,4.22,0.88,3.85,20.99,13.26,0.78,8.14,0.84,8.86,0.81,3.66,17.66
ARH1_2016,20160110,2.14,-7.35,101.65,67.25,3.2,0.85,13.76,65.0,1.49,-4.57,-4.64,0.84,-1.94,0.81,31.19,0.0
ARH1_2016,20160111,2.38,-6.01,101.76,70.69,1.95,0.84,12.1,59.2,3.83,-4.92,-3.58,0.84,-1.14,0.81,20.42,0.0
ARH1_2016,20160112,3.66,-0.42,101.62,80.0,2.48,0.84,12.37,61.2,11.62,-2.08,1.32,0.84,3.05,0.81,25.23,0.0
ARH1_2016,20160113,4.15,1.15,101.58,82.25,2.17,0.84,13.26,65.1,13.69,-3.09,2.71,0.84,4.26,0.81,27.86,0.0
ARH1_2016,20160114,5.8,5.88,100.74,85.25,3.52,0.84,12.66,61.83,15.37,2.07,7.14,0.84,8.4,0.8,20.49,0.0
ARH1_2016,20160115,7.08,8.6,99.85,84.06,3.9,0.84,8.1,41.18,17.23,3.94,9.97,0.83,11.33,0.8,11.84,0.08
ARH1_2016,20160116,3.85,0.12,100.79,82.38,2.3,0.84,7.91,41.32,6.97,-0.35,1.55,0.83,2.98,0.8,4.2,0.0
ARH1_2016,20160117,3.3,-1.81,101.46,80.06,2.48,0.84,13.65,66.67,7.51,-2.73,-0.1,0.83,1.61,0.8,27.93,0.0
ARH1_2016,20160118,1.95,-8.07,102.35,70.5,2.8,0.84,8.14,41.03,-0.04,-5.3,-5.66,0.82,-3.24,0.8,11.82,0.0
ARH1_2016,20160119,2.62,-4.63,102.21,77.38,2.96,0.84,7.02,36.73,4.0,-5.27,-2.77,0.82,-0.92,0.8,4.14,0.01
ARH1_2016,20160120,3.91,0.38,101.51,90.81,2.88,0.84,3.63,19.79,3.59,0.19,1.08,0.83,1.78,0.8,1.96,3.6
ARH1_2016,20160121,4.03,0.78,100.99,92.62,4.12,0.87,2.14,12.26,4.59,-0.03,1.31,0.83,1.85,0.8,1.34,15.22
ARH1_2016,20160122,3.11,-2.71,100.9,80.69,6.44,0.85,4.74,25.62,4.2,-1.67,-1.17,0.84,0.37,0.81,2.96,3.59
ARH1_2016,20160123,2.56,-4.95,101.75,76.19,2.73,0.85,10.82,52.94,3.18,-4.77,-3.04,0.84,-1.12,0.81,15.62,0.02
ARH1_2016,20160124,3.36,-1.81,101.41,84.75,2.33,0.85,12.65,63.25,6.68,-5.02,-0.52,0.84,0.76,0.81,15.2,0.0
ARH1_2016,20160125,6.53,7.08,100.85,92.62,4.9,0.86,6.8,36.18,13.65,1.15,7.65,0.84,8.22,0.81,5.77,2.37
ARH1_2016,20160126,4.09,1.15,101.61,81.75,2.95,0.85,8.89,45.84,7.44,1.03,2.64,0.84,4.12,0.82,4.74,1.5
ARH1_2016,20160127,3.3,-1.77,101.85,77.94,2.38,0.85,15.29,73.57,7.58,-3.06,0.08,0.84,1.93,0.81,30.34,0.01
ARH1_2016,20160128,4.15,0.95,101.03,80.69,2.42,0.84,13.79,68.51,14.02,-3.14,2.72,0.84,4.48,0.81,24.2,0.0
ARH1_2016,20160129,5.55,5.37,100.93,83.38,1.71,0.84,15.0,74.59,16.37,1.24,6.59,0.84,7.82,0.81,30.41,0.0
ARH1_2016,20160130,7.81,10.12,100.48,85.94,4.98,0.84,14.0,70.45,19.38,6.2,11.37,0.84,12.62,0.81,25.12,0.0
ARH1_2016,20160131,10.5,14.73,100.25,88.94,5.37,0.84,8.47,44.41,21.48,12.55,15.69,0.83,16.66,0.8,6.97,0.45
ARH1_2016,20160201,8.73,11.85,100.51,88.5,2.52,0.84,6.84,36.81,17.2,10.2,12.86,0.83,13.87,0.8,4.11,0.58
ARH1_2016,20160202,11.47,15.7,99.87,87.81,4.95,0.87,6.53,35.95,24.83,10.82,16.77,0.84,17.84,0.8,3.72,16.8
ARH1_2016,20160203,4.27,1.51,101.12,73.19,3.27,0.84,15.83,77.76,10.5,0.68,3.89,0.84,6.26,0.81,31.08,0.0
ARH1_2016,20160204,2.99,-3.06,102.15,69.81,2.14,0.84,16.69,80.8,7.94,-2.55,-0.31,0.84,2.43,0.81,34.23,0.0
ARH1_2016,20160205,2.99,-2.92,102.38,62.06,0.89,0.84,15.3,74.33,11.61,-2.64,0.83,0.84,4.58,0.81,21.18,0.0
ARH1_2016,20160206,2.93,-3.27,102.13,55.81,0.91,0.84,14.83,72.73,10.6,0.3,0.96,0.84,5.19,0.8,22.09,0.0
ARH1_2016,20160207,4.03,0.6,101.44,69.69,2.59,0.84,15.09,74.13,14.39,-2.01,3.39,0.83,6.18,0.8,23.57,0.0
ARH1_2016,20160208,3.48,-1.21,100.95,71.5,4.5,0.84,10.15,51.31,7.63,-0.74,1.37,0.83,3.97,0.8,11.84,0.0
ARH1_2016,20160209,2.44,-5.74,101.18,66.31,4.27,0.83,15.79,76.09,6.37,-4.26,-2.67,0.82,0.4,0.8,24.8,0.0
ARH1_2016,20160210,2.69,-4.7,101.65,69.62,2.23,0.83,16.45,81.73,6.94,-5.1,-2.02,0.82,0.65,0.8,30.4,0.0
ARH1_2016,20160211,4.39,2.17,101.37,83.5,2.55,0.83,16.35,81.7,11.92,0.83,3.44,0.82,4.72,0.79,27.08,0.0
ARH1_2016,20160212,4.27,1.77,101.81,80.69,2.71,0.83,16.68,82.98,12.89,-1.09,3.44,0.81,5.09,0.79,28.25,0.0
ARH1_2016,20160213,2.38,-5.89,102.54,66.94,3.2,0.82,16.26,80.6,4.9,-3.27,-2.9,0.81,0.08,0.79,25.79,0.0
ARH1_2016,20160214,4.64,1.85,101.26,80.56,2.96,0.83,8.18,43.49,11.94,-3.36,3.49,0.81,5.13,0.78,3.21,2.77
ARH1_2016,20160215,5.19,4.22,100.42,95.75,2.57,0.89,3.07,17.73,8.08,1.44,4.53,0.84,4.83,0.8,1.73,27.26
ARH1_2016,20160216,5.13,4.12,100.54,85.5,3.55,0.85,11.21,57.76,16.72,0.89,5.35,0.84,6.59,0.81,10.4,0.08
ARH1_2016,20160217,4.7,3.06,101.83,81.56,1.41,0.84,15.94,79.03,13.21,1.44,4.62,0.84,6.17,0.81,21.0,0.0
