Env,Year,GermplasmId,Value
Adelphia_NJ_1996,1996,Macon,43.6
Adelphia_NJ_1997,1997,Macon,44.900000000000006
Adelphia_NJ_1998,1998,Macon,57.25
Adelphia_NJ_1999,1999,IA1008,48.6
Adelphia_NJ_1999,1999,Macon,70.1
Albany_MO_2016,2016,AR14-248020,76.7
Albany_MO_2016,2016,DSN11-06152,84.3
Albany_MO_2016,2016,HR10-3325,81.1
Albany_MO_2016,2016,IA3023,83.9
Albany_MO_2016,2016,LD06-7620,79.5
Albany_MO_2016,2016,LD07-3395bf,82.94999999999999
Albany_MO_2016,2016,LD11-10069,80.9
Albany_MO_2016,2016,LD11-13948R,85.4
Albany_MO_2016,2016,LD11-14102R,76.8
Albany_MO_2016,2016,LD11-2170,86.0
Albany_MO_2016,2016,LD12-10534,80.4
Albany_MO_2016,2016,LD12-15156R1a,77.6
Albany_MO_2016,2016,LD12-15609R2,73.6
Albany_MO_2016,2016,LD12-15753R2,76.6
Albany_MO_2016,2016,LD12-3866,79.7
Albany_MO_2016,2016,LD13-13334R1a,70.8
Albany_MO_2016,2016,LD13-14327R2,81.1
Albany_MO_2016,2016,LD13-14460R1,72.8
Albany_MO_2016,2016,LD13-14525R2,81.2
Albany_MO_2016,2016,LG10-3278,75.1
Albany_MO_2016,2016,LG11-6759,72.8
Albany_MO_2016,2016,LG11-6760,74.2
Albany_MO_2016,2016,LG11-6761,77.7
Albany_MO_2016,2016,LG12-2177,83.7
Albany_MO_2016,2016,LG13-1006,78.2
Albany_MO_2016,2016,LG13-3925,80.3
Albany_MO_2016,2016,LG13-3981,80.0
Albany_MO_2016,2016,LG13-3993,69.9
Albany_MO_2016,2016,SA10-8471,72.2
Albany_MO_2016,2016,SA11-9478RR,73.4
Albany_MO_2016,2016,SA12-1451,90.7
Albany_MO_2016,2016,SA12-1455,87.2
Albany_MO_2016,2016,SA12-1471,76.9
Albany_MO_2016,2016,SA12-1756RR,70.3
Albany_MO_2016,2016,SA13-4268RR,83.3
Albany_MO_2016,2016,SA13-4304RR,75.8
Albany_MO_2016,2016,SA13-4342RR,79.8
Albany_MO_2016,2016,SA13-4420RR,83.5
Albany_MO_2016,2016,SA13-4434RR,77.5
Albany_MO_2016,2016,U03-827101,73.9
Albany_MO_2016,2016,U11-346046,75.5
Albany_MO_2016,2016,U11-377007,89.5
Albany_MO_2016,2016,U11-396034,77.6
Albany_MO_2016,2016,U11-494100,83.9
Albany_MO_2016,2016,U11-614093,80.2
Albany_MO_2016,2016,U11-920017,77.2
Albany_MO_2016,2016,U12-209068,77.0
Albany_MO_2016,2016,U12-428210,82.9
Albany_MO_2016,2016,U12-428214,79.0
Albany_MO_2016,2016,U12-909109R,83.3
Albany_MO_2016,2016,U13-602187,81.4
Albany_MO_2016,2016,U13-614037,74.6
Albany_MO_2016,2016,U13-931068,82.2
Albany_MO_2017,2017,AR13-232008,73.5
Albany_MO_2017,2017,AR13-332062,79.5
Albany_MO_2017,2017,CR144155,55.8
Albany_MO_2017,2017,CR145524,66.7
Albany_MO_2017,2017,CR146116,53.5
Albany_MO_2017,2017,CR147814,64.5
Albany_MO_2017,2017,CR147839,57.2
Albany_MO_2017,2017,CR147881,62.7
Albany_MO_2017,2017,DSN11-03004,66.3
Albany_MO_2017,2017,DSN11-03174,72.0
Albany_MO_2017,2017,DSN11-06152,55.2
Albany_MO_2017,2017,DSN11-10057,66.8
Albany_MO_2017,2017,DSN11-27183,63.1
Albany_MO_2017,2017,HM11-G023,66.4
Albany_MO_2017,2017,HM11-H015,59.5
Albany_MO_2017,2017,HM11-H016,61.6
Albany_MO_2017,2017,HM11-W193,71.3
Albany_MO_2017,2017,HM13-S062,71.5
Albany_MO_2017,2017,HM14-C033,60.2
Albany_MO_2017,2017,HM14-E042,60.7
Albany_MO_2017,2017,HM14-E087,59.0
Albany_MO_2017,2017,HM14-F042,72.2
Albany_MO_2017,2017,HM14-W132,65.6
Albany_MO_2017,2017,HM14-W146,62.3
Albany_MO_2017,2017,K14-1094,72.7
Albany_MO_2017,2017,K14-1153,67.3
Albany_MO_2017,2017,K14-1358,61.7
Albany_MO_2017,2017,K15-1008,67.4
Albany_MO_2017,2017,K15-1039,70.3
Albany_MO_2017,2017,K15-1043,71.7
Albany_MO_2017,2017,K15-1278,62.4
Albany_MO_2017,2017,K15-1279,63.2
Albany_MO_2017,2017,K15-1283,66.9
Albany_MO_2017,2017,K15-1294,65.3
Albany_MO_2017,2017,K15-1303,66.5
Albany_MO_2017,2017,K15-1307,71.1
Albany_MO_2017,2017,K15-1310,69.1
Albany_MO_2017,2017,LD06-7620,71.86666666666666
Albany_MO_2017,2017,LD07-3395bf,72.08571428571429
Albany_MO_2017,2017,LD11-2170,70.7
Albany_MO_2017,2017,LD13-14525R2,67.0
Albany_MO_2017,2017,LD13-3483,59.9
Albany_MO_2017,2017,LD13-5775a,53.9
Albany_MO_2017,2017,LD13-8769,68.8
Albany_MO_2017,2017,LD14-1167,73.0
Albany_MO_2017,2017,LD14-14172R2,70.8
Albany_MO_2017,2017,LD14-1429,76.8
Albany_MO_2017,2017,LD14-14308R2,64.5
Albany_MO_2017,2017,LD14-2880,60.6
Albany_MO_2017,2017,LD14-3090,78.6
Albany_MO_2017,2017,LD14-3218,80.9
Albany_MO_2017,2017,LD14-3340,82.7
Albany_MO_2017,2017,LD14-3698,62.7
Albany_MO_2017,2017,LD14-3702,76.8
Albany_MO_2017,2017,LD14-5353a,77.0
Albany_MO_2017,2017,LD14-6190,66.3
Albany_MO_2017,2017,LD14-6444,72.2
Albany_MO_2017,2017,LD14-6763,66.0
Albany_MO_2017,2017,LD14-6766,72.4
Albany_MO_2017,2017,LD14-6796,66.8
Albany_MO_2017,2017,LG13-1257,75.3
Albany_MO_2017,2017,LG13-3993,69.9
Albany_MO_2017,2017,LG14-6165,61.8
Albany_MO_2017,2017,LG14-6201,74.3
Albany_MO_2017,2017,LG14-7959,64.2
Albany_MO_2017,2017,LG14-8024,71.2
Albany_MO_2017,2017,LG15-2049,65.6
Albany_MO_2017,2017,LG15-2136,74.4
Albany_MO_2017,2017,LG15-2214,77.6
Albany_MO_2017,2017,LG15-2224,65.1
Albany_MO_2017,2017,LG15-4418,70.3
Albany_MO_2017,2017,S13-2743C,69.2
Albany_MO_2017,2017,S14-8943R,67.4
Albany_MO_2017,2017,S15-2702,73.5
Albany_MO_2017,2017,S15-7499,63.4
