GID,Location,Country,Year,Season,Trait,BLUPs
1201260,Los Banos,Philippines,2019,Dry,YLD,6.387
1253957,Los Banos,Philippines,2019,Dry,YLD,5.7422
1253961,Los Banos,Philippines,2019,Dry,YLD,7.1739
1384968,Los Banos,Philippines,2019,Dry,YLD,6.3115
1401800,Los Banos,Philippines,2019,Dry,YLD,7.387
1960929,Los Banos,Philippines,2019,Dry,YLD,6.7268
2337754,Los Banos,Philippines,2019,Dry,YLD,6.3978
2433533,Los Banos,Philippines,2019,Dry,YLD,7.1841
2451001,Los Banos,Philippines,2019,Dry,YLD,7.0637
2472106,Los Banos,Philippines,2019,Dry,YLD,6.8899
2642849,Los Banos,Philippines,2019,Dry,YLD,5.7095
2696701,Los Banos,Philippines,2019,Dry,YLD,6.3885
2697231,Los Banos,Philippines,2019,Dry,YLD,6.2095
2697338,Los Banos,Philippines,2019,Dry,YLD,6.3737
2697419,Los Banos,Philippines,2019,Dry,YLD,6.9707
2697451,Los Banos,Philippines,2019,Dry,YLD,6.4649
2697797,Los Banos,Philippines,2019,Dry,YLD,6.8556
2858722,Los Banos,Philippines,2019,Dry,YLD,6.5242
2971736,Los Banos,Philippines,2019,Dry,YLD,6.3489
2972293,Los Banos,Philippines,2019,Dry,YLD,7.1507
2972309,Los Banos,Philippines,2019,Dry,YLD,6.4501
2972722,Los Banos,Philippines,2019,Dry,YLD,6.4873
2972796,Los Banos,Philippines,2019,Dry,YLD,6.5287
300034581,Los Banos,Philippines,2019,Dry,YLD,7.297
300035917,Los Banos,Philippines,2019,Dry,YLD,7.1935
300038124,Los Banos,Philippines,2019,Dry,YLD,7.4091
300038265,Los Banos,Philippines,2019,Dry,YLD,5.8319
300038266,Los Banos,Philippines,2019,Dry,YLD,6.8187
300038744,Los Banos,Philippines,2019,Dry,YLD,6.8945
300038775,Los Banos,Philippines,2019,Dry,YLD,7.3357
300039577,Los Banos,Philippines,2019,Dry,YLD,6.1623
300040799,Los Banos,Philippines,2019,Dry,YLD,6.3847
300041295,Los Banos,Philippines,2019,Dry,YLD,6.6852
300041329,Los Banos,Philippines,2019,Dry,YLD,5.957
300080502,Los Banos,Philippines,2019,Dry,YLD,6.8029
300080634,Los Banos,Philippines,2019,Dry,YLD,5.8761
300166640,Los Banos,Philippines,2019,Dry,YLD,5.9773
300166641,Los Banos,Philippines,2019,Dry,YLD,6.3984
300170400,Los Banos,Philippines,2019,Dry,YLD,6.9837
300172737,Los Banos,Philippines,2019,Dry,YLD,6.5058
300173154,Los Banos,Philippines,2019,Dry,YLD,6.96
300174086,Los Banos,Philippines,2019,Dry,YLD,7.5568
300174380,Los Banos,Philippines,2019,Dry,YLD,6.5449
300233098,Los Banos,Philippines,2019,Dry,YLD,5.2733
300233776,Los Banos,Philippines,2019,Dry,YLD,7.1368
300252036,Los Banos,Philippines,2019,Dry,YLD,6.0444
300258387,Los Banos,Philippines,2019,Dry,YLD,6.1577
300266828,Los Banos,Philippines,2019,Dry,YLD,6.5582
300266831,Los Banos,Philippines,2019,Dry,YLD,6.3761
300266832,Los Banos,Philippines,2019,Dry,YLD,6.5502
300266835,Los Banos,Philippines,2019,Dry,YLD,5.6318
300266839,Los Banos,Philippines,2019,Dry,YLD,6.9812
300266846,Los Banos,Philippines,2019,Dry,YLD,6.092
300266848,Los Banos,Philippines,2019,Dry,YLD,6.5604
300279864,Los Banos,Philippines,2019,Dry,YLD,6.3203
300279868,Los Banos,Philippines,2019,Dry,YLD,6.872
300287234,Los Banos,Philippines,2019,Dry,YLD,6.294
300293456,Los Banos,Philippines,2019,Dry,YLD,6.2421
300293539,Los Banos,Philippines,2019,Dry,YLD,6.06
300293562,Los Banos,Philippines,2019,Dry,YLD,6.0842
300294018,Los Banos,Philippines,2019,Dry,YLD,6.1526
300294074,Los Banos,Philippines,2019,Dry,YLD,6.6386
300294080,Los Banos,Philippines,2019,Dry,YLD,7.9366
300296708,Los Banos,Philippines,2019,Dry,YLD,6.1439
300431704,Los Banos,Philippines,2019,Dry,YLD,6.4749
300764175,Los Banos,Philippines,2019,Dry,YLD,5.9393
300764179,Los Banos,Philippines,2019,Dry,YLD,4.9079
300764184,Los Banos,Philippines,2019,Dry,YLD,5.8655
3022947,Los Banos,Philippines,2019,Dry,YLD,7.1661
3173051,Los Banos,Philippines,2019,Dry,YLD,5.7908
