ENV,PP_VE,DPT_VE,PET_VE,VPD_VE,TM_VE,TMR_VE,APAR_VE,CPAR_VE,PP_RE,DPT_RE,PET_RE,VPD_RE,TM_RE,TMR_RE,APAR_RE,CPAR_RE,PP_RI,DPT_RI,PET_RI,VPD_RI,TM_RI,TMR_RI,APAR_RI,CPAR_RI
BD_GZ_19W,690,26.48,7.75,0.54,28.53,5.22,5498,7640,286,24.18,7.09,0.6,26.81,6.12,2735,3535,150,22.16,6.55,0.57,24.78,6.95,1240,1501
BD_NM_19W,542,26.43,7.9,0.59,28.79,5.15,4898,6625,321,23.62,6.74,0.57,26.25,5.68,2444,3189,270,21.66,5.71,0.5,24.02,6.78,1193,1617
IN_HY_18W,197,19.44,7.99,1.26,25.51,10.5,6395,8312,0,14.27,8.57,1.93,24.95,14.28,2217,2410,0,10.35,8.19,2.13,24.17,15.19,1571,1673
IN_CU_19W,497,25.77,6.67,0.54,27.8,4.87,4324,6957,238,24.08,7.72,0.59,26.65,6.01,2267,2814,121,21.41,6.62,0.58,24.38,7.82,1957,2281
IN_HY_19D,11,8.88,10.45,3.38,29.27,16.83,6654,6948,13,11.34,11.5,4.05,32.89,15.99,2299,2460,3,10.21,11.29,4.53,34.21,14.84,2857,3109
IN_HY_19W,284,21.7,7.6,0.77,25.2,7.41,4837,6677,58,21.4,7.03,0.55,23.75,7.05,1725,2284,12,17.81,7.29,0.92,22.3,11.25,3426,3840
IN_MA_19W,303,25.52,7.71,0.54,27.81,3.44,4892,6759,90,24.85,8.04,0.63,27.72,3.35,1886,2340,189,23.62,7.21,0.65,26.7,4.4,2682,3405
IN_RP_19W,724,23.85,6.94,0.52,26.06,6.34,5598,8105,56,19.91,6.36,0.61,23.06,8.96,1918,2400,0,15.89,7.04,0.63,19.68,11.8,1863,1900
KE_AH_19D,739,15.95,9.81,0.69,20.38,8.5,6387,7739,744,16.5,8.7,0.56,19.84,7.61,5889,7623,15,15.66,9.98,0.65,19.84,9.57,952,1072
KE_MW_20W,484,16.66,8.89,0.74,20.38,9.79,7551,9880,113,15.19,7.97,0.66,18.89,10.09,3409,4467,25,13.42,7.45,0.78,18.16,11.1,2035,2813
MZ_CK_20W,255,20.24,11.89,1.95,28.94,11.71,9492,11061,58,19.71,10.49,1.46,26.73,10.59,3771,4402,36,17.92,9.19,1.69,26.1,12.08,2733,3187
MZ_MP_20W,329,20.17,10.45,1.42,26.28,10.75,9149,11961,325,20.52,9.43,1.02,25.15,8.97,6323,7905,10,17.35,6.74,1.25,23.65,10.03,1110,1578
PH_LB_19D,26,20.27,9.32,1.04,24.89,9.69,3986,4783,51,21.27,10.65,1.64,28.21,10.61,6177,7149,59,23.43,9.22,1.39,28.85,8.47,1089,1396
PH_LB_19W,340,24.33,7.24,0.6,26.72,4.76,3347,5308,349,23.96,7.24,0.59,26.34,5.19,4211,6453,70,23.27,8.59,0.81,26.57,6.86,1723,2179
TZ_DK_20W,316,20.43,7.34,0.41,22.34,7.02,4586,6528,13,17.63,7.46,0.46,20.09,9.06,2217,2805,72,16.74,7.17,0.55,19.82,9.52,3310,4412
