line	organization	isCheck	year	location	loc_code	env_code	DIS	VSK
PI182561	SDSU	FALSE	2000	Brookings	BRK	BRK_00	34	22.5
PI382161	SDSU	FALSE	2000	Brookings	BRK	BRK_00	7.5	20
PI382167	SDSU	FALSE	2000	Brookings	BRK	BRK_00	28	7.5
PI81791	SDSU	FALSE	2000	Brookings	BRK	BRK_00	29.5	10
MN97039	UMN	FALSE	2000	Brookings	BRK	BRK_00	34.5	32.5
MN97561	UMN	FALSE	2000	Brookings	BRK	BRK_00	37.5	40
MN98037	UMN	FALSE	2000	Brookings	BRK	BRK_00	36.5	45
MN98092	UMN	FALSE	2000	Brookings	BRK	BRK_00	39	35
MN98208	UMN	FALSE	2000	Brookings	BRK	BRK_00	20	22.5
MN98389	UMN	FALSE	2000	Brookings	BRK	BRK_00	26	47.5
2375	NDSU	TRUE	2000	Brookings	BRK	BRK_00	29	35
ND2710	NDSU	TRUE	2000	Brookings	BRK	BRK_00	7.5	20
BACUP	UMN	TRUE	2000	Brookings	BRK	BRK_00	33.5	27.5
WHEATON	UMN	TRUE	2000	Brookings	BRK	BRK_00	35	55
PI104131	SDSU	FALSE	2001	Brookings	BRK	BRK_01	66.1	33
PI185380	SDSU	FALSE	2001	Brookings	BRK	BRK_01	69.5	58
PI349478	SDSU	FALSE	2001	Brookings	BRK	BRK_01	40.7	61.7
PI382140	SDSU	FALSE	2001	Brookings	BRK	BRK_01	51.6	28
MN99109	UMN	FALSE	2001	Brookings	BRK	BRK_01	60.6	56.7
MN99112	UMN	FALSE	2001	Brookings	BRK	BRK_01	61.8	37.5
MN99126	UMN	FALSE	2001	Brookings	BRK	BRK_01	55.2	58.3
MN99192	UMN	FALSE	2001	Brookings	BRK	BRK_01	59.5	46.7
MN99322	UMN	FALSE	2001	Brookings	BRK	BRK_01	59	41.7
2375	NDSU	TRUE	2001	Brookings	BRK	BRK_01	64	63.3
ND2710	NDSU	TRUE	2001	Brookings	BRK	BRK_01	51.6	41.7
BACUP	UMN	TRUE	2001	Brookings	BRK	BRK_01	54.4	66.7
WHEATON	UMN	TRUE	2001	Brookings	BRK	BRK_01	77.7	70
PI163429	Argentina	FALSE	2002	Brookings	BRK	BRK_02	62.5	30
