Trial,Line,DF_BLUE,DF_SE,DPM_BLUE,DPM_SE,100SdW_BLUE,100SdW_SE,Yd_BLUE,Yd_SE
Dar16C_hiP,ACC_002,39.48314681,1.563730072,79.75527121,0.77791066,49.81542939,2.425260214,1711.570137,202.5353573
Dar16C_hiP,ACC_003,47.52166219,1.554171734,83.46820477,0.773549109,49.54321761,2.416314442,959.7475073,201.7163846
Dar16C_hiP,ACC_004,40.74756665,1.583559463,82.31994122,0.787518961,53.74466324,2.444814941,809.4625757,206.3912082
Dar16C_hiP,ACC_005,40.48791039,1.545030385,80.84775012,0.769801876,61.43232897,2.418969885,1523.644867,201.7495272
Dar16C_hiP,ACC_007,39.51084568,1.578571125,80.43770363,0.78572285,42.51563445,2.446617828,1353.960587,205.2931891
Dar16C_hiP,ACC_008,39.74633998,1.544862537,81.16267955,0.770209053,53.50379878,2.419497488,1495.299846,201.9877812
Dar16C_hiP,ACC_009,43.65401639,1.567795786,82.18215328,0.779158003,52.97510069,2.436605936,1655.823903,203.3285597
Dar16C_hiP,ACC_010,39.59127395,1.561825019,80.4589371,0.7763867,47.67997744,2.418264645,1390.98895,202.6662654
Dar16C_hiP,ACC_011,39.29952964,1.552521159,81.52022431,0.772388097,50.71036806,2.409284769,1200.722002,200.7711976
Dar16C_hiP,ACC_012,42.13884991,1.55019654,83.07143134,0.771546956,55.88245519,2.402856005,1954.135012,200.6747289
Dar16C_hiP,ACC_014,47.02124772,1.602236538,82.56758288,0.796136325,49.7549101,2.494072918,1385.781708,209.2802136
Dar16C_hiP,ACC_017,44.53498041,1.552454511,82.84681998,0.773070306,51.94001556,2.412370537,715.0606426,201.56209
Dar16C_hiP,ACC_018,39.55276177,1.580281654,80.39699981,0.783886943,51.09365508,2.436760774,1227.833921,204.7011132
Dar16C_hiP,ACC_022,39.368596,1.555136656,79.02185535,0.774179523,53.92427422,2.410962944,1697.276922,201.8040703
Dar16C_hiP,ACC_023,38.78495859,1.551915242,81.53777062,0.772788592,49.72760065,2.402770568,1990.831349,200.8221161
Dar16C_hiP,ACC_024,39.99539714,1.56240529,82.583939,0.776089288,49.51497214,2.428497736,1287.84016,202.2825309
